Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;30,00;15,00;5,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;5,00;5,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-01-13;77,00;0,00;19,00;5,00;10,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;15,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00
2019-01-20;44,00;0,00;15,00;0,00;5,00;10,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;19,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;62,00;0,00;5,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-02-03;85,00;5,00;5,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;10,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;5,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;62,00;10,00;10,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;38,00;0,00;5,00;0,00;5,00;10,00;0,00;5,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;14,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;9,00;5,00;5,00;5,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;43,00;5,00;24,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;64,00;5,00;15,00;5,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;40,00;5,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;65,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;54,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;20,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;20,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00
2019-04-21;51,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;29,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;50,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;31,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
