Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;95,00;13,00;19,00;5,00;2,00;27,00;0,00;25,00;7,00
2019-01-13;89,00;11,00;16,00;2,00;1,00;21,00;2,00;28,00;4,00
2019-01-20;100,00;12,00;17,00;6,00;2,00;27,00;0,00;27,00;8,00
2019-01-27;80,00;14,00;14,00;8,00;1,00;24,00;2,00;23,00;6,00
2019-02-03;70,00;13,00;14,00;4,00;1,00;16,00;1,00;23,00;4,00
2019-02-10;77,00;13,00;19,00;7,00;1,00;10,00;1,00;28,00;4,00
2019-02-17;82,00;20,00;17,00;5,00;2,00;23,00;1,00;22,00;5,00
2019-02-24;70,00;9,00;10,00;8,00;1,00;17,00;3,00;26,00;3,00
2019-03-03;72,00;11,00;15,00;8,00;1,00;18,00;2,00;25,00;5,00
2019-03-10;70,00;14,00;8,00;8,00;0,00;16,00;2,00;21,00;5,00
2019-03-17;70,00;12,00;11,00;10,00;3,00;18,00;2,00;21,00;5,00
2019-03-24;65,00;12,00;9,00;5,00;2,00;15,00;2,00;26,00;16,00
2019-03-31;64,00;8,00;7,00;9,00;1,00;15,00;0,00;19,00;7,00
2019-04-07;57,00;5,00;7,00;3,00;1,00;13,00;3,00;27,00;7,00
2019-04-14;67,00;10,00;10,00;5,00;0,00;14,00;2,00;23,00;7,00
2019-04-21;62,00;9,00;10,00;9,00;2,00;20,00;0,00;27,00;5,00
2019-04-28;66,00;8,00;5,00;5,00;2,00;16,00;1,00;19,00;2,00
2019-05-05;57,00;8,00;4,00;7,00;0,00;12,00;2,00;16,00;6,00
2019-05-12;72,00;8,00;6,00;3,00;2,00;10,00;1,00;18,00;10,00
2019-05-19;74,00;5,00;8,00;5,00;1,00;17,00;11,00;19,00;6,00
2019-05-26;73,00;8,00;8,00;11,00;3,00;14,00;0,00;15,00;6,00
2019-06-02;63,00;6,00;9,00;8,00;1,00;9,00;2,00;18,00;3,00
2019-06-09;72,00;8,00;9,00;5,00;1,00;13,00;0,00;24,00;3,00
2019-06-16;65,00;9,00;31,00;10,00;2,00;21,00;2,00;13,00;4,00
2019-06-23;59,00;21,00;73,00;7,00;3,00;8,00;0,00;25,00;4,00
2019-06-30;70,00;10,00;12,00;7,00;2,00;10,00;1,00;17,00;5,00
2019-07-07;53,00;15,00;8,00;8,00;2,00;14,00;1,00;21,00;7,00
2019-07-14;51,00;11,00;9,00;21,00;0,00;9,00;2,00;17,00;11,00
2019-07-21;82,00;4,00;7,00;13,00;0,00;14,00;1,00;28,00;7,00
2019-07-28;68,00;11,00;6,00;34,00;1,00;7,00;1,00;25,00;4,00
2019-08-04;73,00;4,00;6,00;11,00;1,00;16,00;0,00;24,00;5,00
2019-08-11;72,00;9,00;4,00;16,00;2,00;16,00;3,00;18,00;2,00
2019-08-18;64,00;9,00;9,00;9,00;0,00;12,00;4,00;21,00;5,00
2019-08-25;78,00;7,00;14,00;4,00;2,00;14,00;1,00;24,00;6,00
2019-09-01;53,00;10,00;10,00;6,00;3,00;13,00;4,00;21,00;4,00
2019-09-08;66,00;12,00;4,00;10,00;1,00;12,00;3,00;22,00;6,00
2019-09-15;57,00;8,00;14,00;7,00;1,00;14,00;2,00;16,00;8,00
2019-09-22;52,00;14,00;12,00;5,00;2,00;10,00;2,00;14,00;5,00
2019-09-29;53,00;10,00;15,00;11,00;1,00;9,00;1,00;13,00;7,00
2019-10-06;61,00;10,00;13,00;6,00;1,00;7,00;3,00;19,00;6,00
2019-10-13;57,00;8,00;10,00;8,00;2,00;11,00;2,00;17,00;4,00
2019-10-20;69,00;14,00;12,00;9,00;4,00;13,00;5,00;11,00;6,00
2019-10-27;63,00;12,00;9,00;14,00;2,00;10,00;2,00;19,00;4,00
2019-11-03;66,00;15,00;8,00;11,00;1,00;11,00;1,00;14,00;7,00
2019-11-10;64,00;12,00;15,00;9,00;1,00;21,00;1,00;16,00;6,00
2019-11-17;44,00;15,00;15,00;7,00;1,00;20,00;2,00;17,00;8,00
2019-11-24;55,00;11,00;14,00;11,00;1,00;16,00;7,00;17,00;12,00
2019-12-01;54,00;11,00;10,00;13,00;1,00;17,00;1,00;15,00;8,00
2019-12-08;58,00;13,00;19,00;11,00;1,00;13,00;1,00;18,00;4,00
2019-12-15;56,00;16,00;10,00;12,00;1,00;12,00;1,00;20,00;10,00
2019-12-22;63,00;9,00;16,00;11,00;2,00;28,00;2,00;25,00;9,00
2019-12-29;77,00;9,00;21,00;14,00;2,00;33,00;2,00;27,00;10,00
2020-01-05;77,00;23,00;13,00;5,00;1,00;24,00;6,00;35,00;11,00
2020-01-12;71,00;16,00;20,00;10,00;2,00;22,00;3,00;26,00;11,00
2020-01-19;76,00;17,00;15,00;11,00;3,00;15,00;1,00;29,00;6,00
2020-01-26;76,00;14,00;17,00;7,00;4,00;14,00;5,00;25,00;10,00
2020-02-02;64,00;13,00;13,00;12,00;1,00;27,00;4,00;25,00;8,00
2020-02-09;60,00;12,00;18,00;6,00;2,00;20,00;1,00;21,00;5,00
2020-02-16;65,00;19,00;12,00;5,00;1,00;19,00;2,00;29,00;10,00
2020-02-23;59,00;17,00;15,00;10,00;0,00;17,00;3,00;32,00;6,00
2020-03-01;62,00;13,00;15,00;18,00;1,00;15,00;2,00;13,00;4,00
2020-03-08;64,00;13,00;12,00;18,00;0,00;18,00;1,00;22,00;5,00
2020-03-15;62,00;10,00;10,00;12,00;2,00;11,00;5,00;9,00;4,00
