Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;39,00;754,00;6,50;26,00;13,00;13,00;9,00;30,00;3,00;1,00;1,00;6,00;3,00
2019-01-13;36,00;672,00;6,00;12,00;12,00;28,00;15,00;24,00;4,00;1,00;3,00;4,00;1,00
2019-01-20;32,00;597,33;0,00;10,67;21,33;18,00;8,00;30,00;6,00;4,00;7,00;4,00;3,00
2019-01-27;53,00;551,20;5,30;5,30;10,60;17,00;17,00;19,00;8,00;1,00;4,00;11,00;0,00
2019-02-03;49,00;673,75;6,13;12,25;24,50;16,00;19,00;30,00;4,00;3,00;4,00;7,00;0,00
2019-02-10;43,00;580,50;5,38;10,75;10,75;14,00;11,00;21,00;10,00;0,00;1,00;7,00;1,00
2019-02-17;55,00;638,00;0,00;11,00;11,00;33,00;14,00;26,00;1,00;6,00;3,00;4,00;4,00
2019-02-24;34,00;612,00;5,67;11,33;11,33;22,00;11,00;29,00;5,00;3,00;3,00;3,00;4,00
2019-03-03;39,00;806,00;6,50;13,00;13,00;19,00;21,00;19,00;1,00;6,00;7,00;6,00;0,00
2019-03-10;47,00;728,50;5,88;11,75;23,50;17,00;13,00;38,00;8,00;6,00;1,00;6,00;1,00
2019-03-17;44,00;660,00;11,00;11,00;11,00;18,00;10,00;30,00;9,00;4,00;1,00;4,00;3,00
2019-03-24;52,00;634,40;0,00;20,80;10,40;19,00;19,00;29,00;6,00;6,00;1,00;7,00;1,00
2019-03-31;48,00;744,00;6,00;12,00;12,00;14,00;21,00;27,00;10,00;4,00;4,00;6,00;1,00
2019-04-07;36,00;732,00;6,00;12,00;12,00;19,00;26,00;27,00;9,00;4,00;1,00;4,00;0,00
2019-04-14;52,00;1040,00;5,20;20,80;20,80;23,00;16,00;37,00;6,00;3,00;3,00;9,00;3,00
2019-04-21;65,00;671,67;5,42;5,42;10,83;18,00;19,00;29,00;1,00;9,00;4,00;7,00;0,00
2019-04-28;50,00;725,00;6,25;12,50;12,50;34,00;17,00;25,00;6,00;3,00;1,00;8,00;7,00
2019-05-05;59,00;719,80;5,90;23,60;11,80;14,00;16,00;30,00;13,00;4,00;1,00;9,00;1,00
2019-05-12;66,00;726,00;11,00;11,00;22,00;16,00;18,00;32,00;9,00;3,00;0,00;3,00;0,00
2019-05-19;53,00;678,40;5,30;21,20;21,20;31,00;18,00;30,00;4,00;6,00;1,00;12,00;3,00
2019-05-26;52,00;696,80;0,00;10,40;20,80;13,00;16,00;33,00;4,00;4,00;1,00;4,00;3,00
2019-06-02;64,00;736,00;10,67;10,67;21,33;19,00;26,00;35,00;3,00;9,00;1,00;1,00;3,00
2019-06-09;56,00;739,20;5,60;11,20;22,40;26,00;15,00;35,00;1,00;7,00;1,00;15,00;1,00
2019-06-16;70,00;805,00;5,83;11,67;23,33;29,00;10,00;31,00;12,00;0,00;3,00;10,00;3,00
2019-06-23;64,00;800,00;0,00;10,67;21,33;33,00;21,00;27,00;3,00;6,00;3,00;9,00;3,00
2019-06-30;57,00;718,20;11,40;11,40;45,60;31,00;23,00;34,00;11,00;2,00;0,00;6,00;0,00
2019-07-07;50,00;737,50;12,50;25,00;37,50;12,00;20,00;28,00;9,00;4,00;4,00;3,00;1,00
2019-07-14;66,00;638,00;5,50;11,00;11,00;19,00;19,00;35,00;12,00;9,00;1,00;6,00;1,00
2019-07-21;61,00;768,60;6,10;12,20;24,40;17,00;14,00;24,00;6,00;0,00;2,00;11,00;2,00
2019-07-28;39,00;793,00;6,50;26,00;13,00;13,00;12,00;31,00;3,00;3,00;3,00;7,00;1,00
2019-08-04;41,00;594,50;5,13;10,25;10,25;18,00;19,00;28,00;4,00;4,00;0,00;10,00;1,00
2019-08-11;65,00;606,67;10,83;10,83;21,67;19,00;22,00;26,00;6,00;7,00;3,00;6,00;4,00
2019-08-18;46,00;678,50;5,75;11,50;11,50;14,00;24,00;33,00;4,00;9,00;3,00;10,00;3,00
2019-08-25;50,00;712,50;12,50;25,00;12,50;19,00;8,00;31,00;10,00;3,00;6,00;7,00;1,00
2019-09-01;58,00;742,40;11,60;23,20;23,20;28,00;19,00;28,00;11,00;5,00;3,00;5,00;1,00
2019-09-08;55,00;693,00;11,00;22,00;11,00;16,00;19,00;25,00;11,00;7,00;8,00;8,00;1,00
2019-09-15;46,00;736,00;5,75;23,00;23,00;17,00;21,00;25,00;18,00;8,00;3,00;4,00;7,00
2019-09-22;66,00;693,00;11,00;22,00;22,00;21,00;22,00;23,00;16,00;7,00;5,00;15,00;3,00
2019-09-29;53,00;657,20;10,60;31,80;21,20;39,00;19,00;26,00;11,00;8,00;5,00;8,00;4,00
2019-10-06;52,00;767,00;6,50;26,00;13,00;26,00;18,00;31,00;8,00;11,00;3,00;7,00;1,00
2019-10-13;41,00;604,75;10,25;20,50;20,50;20,00;16,00;27,00;12,00;11,00;1,00;8,00;0,00
2019-10-20;53,00;593,60;10,60;31,80;21,20;28,00;24,00;24,00;3,00;5,00;11,00;7,00;5,00
2019-10-27;33,00;594,00;5,50;22,00;22,00;13,00;12,00;31,00;5,00;8,00;3,00;7,00;1,00
2019-11-03;52,00;592,80;5,20;20,80;20,80;21,00;25,00;24,00;9,00;5,00;8,00;11,00;3,00
2019-11-10;36,00;684,00;6,00;24,00;24,00;18,00;9,00;26,00;9,00;9,00;6,00;4,00;4,00
2019-11-17;45,00;652,50;11,25;22,50;22,50;24,00;16,00;21,00;6,00;3,00;9,00;5,00;4,00
2019-11-24;54,00;594,00;10,80;21,60;32,40;19,00;19,00;28,00;4,00;7,00;4,00;7,00;0,00
2019-12-01;52,00;592,80;5,20;20,80;20,80;15,00;23,00;21,00;14,00;9,00;10,00;6,00;1,00
2019-12-08;64,00;618,67;10,67;32,00;32,00;34,00;23,00;38,00;6,00;13,00;13,00;4,00;7,00
2019-12-15;62,00;744,00;12,40;12,40;37,20;29,00;31,00;30,00;20,00;13,00;9,00;4,00;8,00
2019-12-22;100,00;833,33;22,22;33,33;33,33;35,00;38,00;47,00;14,00;15,00;9,00;8,00;11,00
2019-12-29;76,00;749,14;5,43;21,71;21,71;32,00;27,00;42,00;17,00;13,00;14,00;6,00;6,00
2020-01-05;80,00;880,00;11,43;34,29;34,29;39,00;32,00;38,00;30,00;10,00;8,00;5,00;4,00
2020-01-12;95,00;938,13;11,88;23,75;47,50;37,00;49,00;43,00;12,00;16,00;14,00;10,00;5,00
2020-01-19;100,00;922,22;11,11;22,22;44,44;43,00;35,00;47,00;22,00;12,00;14,00;9,00;4,00
2020-01-26;73,00;803,00;12,17;24,33;36,50;26,00;26,00;33,00;18,00;18,00;11,00;6,00;8,00
2020-02-02;68,00;736,67;11,33;22,67;34,00;34,00;30,00;20,00;21,00;9,00;6,00;16,00;1,00
2020-02-09;74,00;888,00;12,33;37,00;49,33;41,00;30,00;35,00;26,00;14,00;11,00;4,00;8,00
2020-02-16;79,00;823,86;11,29;33,86;33,86;45,00;21,00;33,00;15,00;14,00;14,00;9,00;8,00
2020-02-23;64,00;810,67;10,67;42,67;32,00;56,00;38,00;35,00;29,00;22,00;11,00;6,00;4,00
2020-03-01;55,00;781,00;11,00;44,00;44,00;30,00;31,00;15,00;15,00;18,00;11,00;1,00;4,00
2020-03-08;68,00;884,00;22,67;22,67;34,00;32,00;21,00;27,00;12,00;13,00;5,00;4,00;5,00
2020-03-15;48,00;624,00;6,00;36,00;48,00;42,00;30,00;17,00;13,00;19,00;9,00;6,00;2,00
2020-03-22;32,00;405,33;5,33;32,00;21,33;26,00;18,00;21,00;13,00;13,00;10,00;5,00;2,00
2020-03-29;37,00;419,33;6,17;24,67;12,33;21,00;17,00;15,00;6,00;8,00;3,00;2,00;1,00
2020-04-05;28,00;504,00;14,00;28,00;42,00;31,00;29,00;15,00;8,00;15,00;2,00;3,00;1,00
2020-04-12;38,00;430,67;12,67;12,67;25,33;19,00;22,00;11,00;12,00;9,00;3,00;3,00;3,00
2020-04-19;34,00;328,67;5,67;22,67;11,33;23,00;10,00;12,00;11,00;10,00;3,00;3,00;2,00
2020-04-26;23,00;299,00;11,50;23,00;11,50;18,00;17,00;12,00;6,00;7,00;4,00;6,00;11,00
2020-05-03;17,00;459,00;17,00;17,00;34,00;17,00;22,00;16,00;10,00;8,00;10,00;2,00;1,00
2020-05-10;30,00;270,00;10,00;20,00;20,00;24,00;17,00;17,00;10,00;13,00;7,00;6,00;2,00
2020-05-17;46,00;345,00;11,50;11,50;23,00;28,00;10,00;16,00;8,00;2,00;6,00;5,00;3,00
2020-05-24;42,00;294,00;10,50;21,00;21,00;21,00;13,00;14,00;7,00;4,00;4,00;0,00;4,00
2020-05-31;40,00;270,00;10,00;20,00;20,00;24,00;15,00;13,00;13,00;5,00;7,00;9,00;2,00
2020-06-07;42,00;346,50;10,50;10,50;31,50;21,00;9,00;15,00;3,00;12,00;13,00;3,00;1,00
2020-06-14;54,00;345,60;10,80;21,60;21,60;19,00;11,00;21,00;7,00;8,00;12,00;6,00;0,00
