Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;65,00;49,00;32,00;35,00;8,00;32,50;76,97;171,05;76,97
2019-01-13;68,00;24,00;30,00;38,00;7,00;35,70;76,50;147,90;74,80
2019-01-20;65,00;47,00;23,00;31,00;10,00;28,33;63,33;126,67;73,33
2019-01-27;63,00;34,00;34,00;33,00;10,00;28,95;63,00;115,78;68,11
2019-02-03;79,00;39,00;28,00;24,00;10,00;25,21;48,74;122,70;63,87
2019-02-10;100,00;43,00;27,00;26,00;6,00;27,12;47,46;105,08;62,71
2019-02-17;81,00;32,00;29,00;20,00;11,00;23,63;48,94;109,69;70,88
2019-02-24;83,00;39,00;26,00;24,00;11,00;23,71;71,14;105,02;66,06
2019-03-03;72,00;33,00;23,00;26,00;11,00;25,12;43,53;102,14;65,30
2019-03-10;63,00;33,00;15,00;23,00;8,00;28,95;47,68;100,46;63,00
2019-03-17;58,00;32,00;24,00;27,00;9,00;23,88;49,47;102,35;58,00
2019-03-24;51,00;29,00;42,00;21,00;9,00;27,20;35,70;95,20;62,90
2019-03-31;53,00;24,00;33,00;18,00;13,00;24,84;43,06;104,34;56,31
2019-04-07;52,00;41,00;33,00;20,00;13,00;21,81;48,65;107,35;52,00
2019-04-14;42,00;27,00;36,00;23,00;11,00;31,92;38,64;104,16;50,40
2019-04-21;52,00;17,00;24,00;21,00;7,00;35,23;50,32;119,10;52,00
2019-04-28;50,00;29,00;27,00;27,00;9,00;28,33;55,00;120,00;48,33
2019-05-05;46,00;44,00;21,00;21,00;8,00;27,26;63,04;124,37;49,41
2019-05-12;35,00;43,00;11,00;24,00;18,00;26,67;40,00;116,67;50,00
2019-05-19;49,00;22,00;26,00;22,00;18,00;27,03;59,14;135,17;52,38
2019-05-26;39,00;42,00;37,00;30,00;15,00;32,22;42,39;137,35;57,65
2019-06-02;40,00;57,00;28,00;26,00;14,00;35,00;58,33;143,33;53,33
2019-06-09;55,00;61,00;35,00;43,00;17,00;37,81;46,41;144,38;58,44
2019-06-16;51,00;55,00;38,00;38,00;14,00;42,50;52,70;146,20;57,80
2019-06-23;52,00;35,00;54,00;30,00;19,00;45,29;43,61;135,87;53,68
2019-06-30;60,00;35,00;54,00;39,00;19,00;44,57;68,57;145,71;46,29
