Disney (Ttes Catégories);BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;63,00;21,00;17,00;28,00;45,00;12,00;43,00;40,00;1,00
2019-01-13;62,00;18,00;16,00;25,00;42,00;18,00;37,00;36,00;1,00
2019-01-20;61,00;17,00;13,00;26,00;38,00;15,00;26,00;31,00;1,00
2019-01-27;41,00;7,00;12,00;26,00;27,00;13,00;24,00;28,00;1,00
2019-02-03;50,00;8,00;11,00;22,00;30,00;7,00;18,00;29,00;1,00
2019-02-10;43,00;9,00;11,00;29,00;35,00;10,00;23,00;28,00;1,00
2019-02-17;47,00;14,00;10,00;27,00;36,00;9,00;23,00;32,00;1,00
2019-02-24;38,00;11,00;10,00;27,00;36,00;11,00;27,00;25,00;1,00
2019-03-03;61,00;17,00;9,00;26,00;34,00;11,00;32,00;29,00;1,00
2019-03-10;43,00;13,00;16,00;24,00;31,00;16,00;38,00;31,00;1,00
2019-03-17;57,00;9,00;11,00;35,00;45,00;18,00;32,00;56,00;1,00
2019-03-24;52,00;13,00;13,00;30,00;44,00;15,00;28,00;36,00;1,00
2019-03-31;56,00;10,00;13,00;23,00;41,00;10,00;41,00;25,00;1,00
2019-04-07;65,00;15,00;13,00;28,00;47,00;14,00;33,00;27,00;1,00
2019-04-14;50,00;24,00;17,00;23,00;46,00;12,00;33,00;25,00;1,00
2019-04-21;44,00;25,00;16,00;28,00;47,00;16,00;38,00;24,00;1,00
2019-04-28;43,00;14,00;16,00;25,00;43,00;12,00;39,00;24,00;1,00
2019-05-05;52,00;9,00;17,00;21,00;37,00;11,00;24,00;26,00;1,00
2019-05-12;35,00;13,00;19,00;22,00;33,00;11,00;25,00;25,00;1,00
2019-05-19;38,00;17,00;16,00;23,00;34,00;9,00;29,00;29,00;1,00
2019-05-26;44,00;19,00;16,00;21,00;42,00;9,00;29,00;31,00;1,00
2019-06-02;50,00;20,00;13,00;23,00;37,00;10,00;24,00;28,00;1,00
2019-06-09;65,00;14,00;19,00;24,00;41,00;13,00;26,00;26,00;1,00
2019-06-16;44,00;10,00;17,00;25,00;38,00;12,00;22,00;27,00;1,00
2019-06-23;41,00;13,00;13,00;23,00;38,00;15,00;21,00;25,00;1,00
2019-06-30;56,00;10,00;15,00;25,00;39,00;13,00;25,00;27,00;1,00
2019-07-07;72,00;22,00;17,00;25,00;43,00;12,00;39,00;31,00;1,00
2019-07-14;72,00;9,00;17,00;30,00;53,00;15,00;38,00;29,00;1,00
2019-07-21;63,00;16,00;14,00;27,00;48,00;14,00;28,00;28,00;1,00
2019-07-28;62,00;14,00;15,00;30,00;53,00;13,00;38,00;29,00;1,00
2019-08-04;68,00;12,00;15,00;30,00;52,00;13,00;38,00;31,00;1,00
2019-08-11;65,00;14,00;14,00;26,00;59,00;17,00;39,00;34,00;1,00
2019-08-18;56,00;13,00;15,00;28,00;53,00;18,00;28,00;31,00;1,00
2019-08-25;51,00;13,00;15,00;30,00;50,00;15,00;25,00;30,00;1,00
2019-09-01;49,00;16,00;15,00;29,00;41,00;17,00;31,00;32,00;1,00
2019-09-08;65,00;16,00;16,00;21,00;46,00;14,00;49,00;30,00;1,00
2019-09-15;59,00;12,00;17,00;22,00;46,00;12,00;42,00;34,00;1,00
2019-09-22;92,00;19,00;19,00;21,00;51,00;12,00;42,00;36,00;1,00
2019-09-29;71,00;16,00;18,00;24,00;52,00;13,00;35,00;32,00;1,00
2019-10-06;59,00;19,00;15,00;19,00;50,00;12,00;45,00;29,00;1,00
2019-10-13;55,00;15,00;15,00;22,00;55,00;16,00;40,00;30,00;1,00
2019-10-20;63,00;14,00;13,00;18,00;65,00;15,00;34,00;31,00;1,00
2019-10-27;68,00;11,00;13,00;19,00;56,00;17,00;30,00;28,00;1,00
2019-11-03;57,00;12,00;12,00;23,00;48,00;14,00;32,00;26,00;1,00
2019-11-10;59,00;14,00;12,00;26,00;53,00;15,00;30,00;24,00;1,00
2019-11-17;59,00;15,00;14,00;31,00;51,00;22,00;26,00;21,00;1,00
2019-11-24;55,00;5,00;12,00;22,00;48,00;13,00;26,00;21,00;1,00
2019-12-01;51,00;11,00;10,00;19,00;51,00;12,00;28,00;18,00;1,00
2019-12-08;45,00;16,00;11,00;20,00;41,00;13,00;26,00;18,00;2,00
2019-12-15;57,00;12,00;11,00;14,00;47,00;10,00;23,00;21,00;2,00
2019-12-22;81,00;15,00;18,00;20,00;73,00;12,00;35,00;34,00;2,00
2019-12-29;69,00;13,00;20,00;23,00;62,00;16,00;34,00;49,00;2,00
2020-01-05;66,00;14,00;21,00;24,00;45,00;14,00;36,00;43,00;2,00
2020-01-12;68,00;18,00;22,00;27,00;47,00;21,00;44,00;41,00;2,00
2020-01-19;63,00;12,00;17,00;27,00;43,00;26,00;39,00;35,00;2,00
2020-01-26;63,00;18,00;15,00;22,00;41,00;21,00;35,00;31,00;1,00
2020-02-02;61,00;14,00;13,00;28,00;47,00;11,00;30,00;29,00;1,00
2020-02-09;43,00;12,00;12,00;25,00;42,00;12,00;25,00;35,00;2,00
2020-02-16;51,00;12,00;11,00;27,00;52,00;13,00;32,00;38,00;2,00
2020-02-23;68,00;16,00;13,00;26,00;59,00;8,00;36,00;28,00;2,00
2020-03-01;49,00;15,00;12,00;24,00;51,00;9,00;35,00;31,00;2,00
2020-03-08;94,00;16,00;22,00;30,00;100,00;7,00;46,00;48,00;2,00
2020-03-15;15,00;4,00;5,00;6,00;11,00;3,00;11,00;9,00;1,00
2020-03-22;15,00;5,00;4,00;8,00;8,00;4,00;10,00;7,00;1,00
2020-03-29;16,00;2,00;5,00;8,00;9,00;5,00;9,00;11,00;1,00
2020-04-05;13,00;8,00;5,00;8,00;10,00;4,00;7,00;12,00;1,00
2020-04-12;15,00;7,00;6,00;8,00;19,00;5,00;6,00;12,00;1,00
2020-04-19;15,00;7,00;4,00;6,00;15,00;4,00;8,00;10,00;1,00
2020-04-26;12,00;4,00;5,00;7,00;14,00;4,00;5,00;12,00;1,00
2020-05-03;17,00;4,00;5,00;6,00;13,00;4,00;8,00;9,00;1,00
2020-05-10;13,00;4,00;5,00;5,00;12,00;3,00;10,00;11,00;1,00
2020-05-17;15,00;4,00;4,00;5,00;14,00;3,00;11,00;11,00;1,00
2020-05-24;13,00;5,00;5,00;8,00;16,00;3,00;11,00;10,00;1,00
2020-05-31;17,00;7,00;7,00;7,00;19,00;4,00;16,00;10,00;1,00
2020-06-07;19,00;8,00;6,00;8,00;19,00;3,00;13,00;11,00;1,00
2020-06-14;18,00;6,00;8,00;6,00;27,00;5,00;15,00;9,00;1,00
2020-06-21;37,00;5,00;9,00;8,00;29,00;5,00;15,00;15,00;1,00
2020-06-28;36,00;9,00;10,00;10,00;28,00;6,00;20,00;16,00;1,00
2020-07-05;34,00;7,00;11,00;7,00;27,00;3,00;28,00;13,00;1,00
2020-07-12;54,00;11,00;12,00;11,00;38,00;6,00;23,00;18,00;1,00
2020-07-19;32,00;7,00;9,00;9,00;30,00;4,00;22,00;16,00;1,00
2020-07-26;31,00;7,00;10,00;9,00;31,00;5,00;17,00;14,00;1,00
2020-08-02;27,00;5,00;8,00;8,00;32,00;5,00;17,00;12,00;1,00
2020-08-09;26,00;5,00;8,00;10,00;38,00;4,00;16,00;11,00;1,00
2020-08-16;39,00;7,00;9,00;8,00;36,00;5,00;15,00;10,00;1,00
2020-08-23;45,00;7,00;6,00;10,00;34,00;4,00;18,00;9,00;1,00
2020-08-30;30,00;5,00;5,00;7,00;29,00;3,00;11,00;9,00;1,00
2020-09-06;38,00;3,00;5,00;9,00;29,00;4,00;11,00;10,00;1,00
2020-09-13;21,00;5,00;5,00;7,00;29,00;4,00;12,00;9,00;1,00
2020-09-20;22,00;5,00;3,00;8,00;31,00;2,00;13,00;7,00;1,00
2020-09-27;29,00;6,00;4,00;6,00;39,00;2,00;9,00;7,00;1,00
2020-10-04;24,00;4,00;4,00;9,00;46,00;3,00;9,00;6,00;1,00
