Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;70,00;53,85;105,90;35,90;52,05;26,00;50,00;40,00;19,00
2019-01-13;69,00;50,84;101,68;27,24;50,84;24,00;40,00;32,00;20,00
2019-01-20;80,00;50,91;85,45;23,64;56,36;17,00;34,00;29,00;18,00
2019-01-27;79,00;48,48;93,36;25,14;55,66;17,00;35,00;24,00;15,00
2019-02-03;83,00;37,89;104,65;23,46;61,35;16,00;28,00;27,00;15,00
2019-02-10;86,00;27,45;113,45;21,96;56,72;15,00;30,00;29,00;16,00
2019-02-17;86,00;30,46;105,71;16,13;48,38;18,00;30,00;23,00;16,00
2019-02-24;61,00;36,97;86,88;12,94;42,52;13,00;27,00;19,00;11,00
2019-03-03;46,00;42,32;51,52;12,88;31,28;11,00;24,00;19,00;11,00
2019-03-10;35,00;29,47;62,63;11,05;22,11;13,00;20,00;15,00;9,00
2019-03-17;29,00;16,31;54,38;9,06;19,94;7,00;11,00;12,00;7,00
2019-03-24;21,00;17,18;24,82;5,73;17,18;4,00;9,00;13,00;6,00
2019-03-31;19,00;24,70;32,30;3,80;13,30;5,00;11,00;10,00;4,00
2019-04-07;15,00;16,88;22,50;3,75;16,88;6,00;9,00;11,00;3,00
2019-04-14;16,00;16,00;23,11;3,56;16,00;6,00;3,00;6,00;2,00
2019-04-21;5,00;3,33;15,00;1,67;11,67;3,00;4,00;5,00;2,00
2019-04-28;6,00;6,00;12,00;1,50;7,50;3,00;4,00;4,00;2,00
2019-05-05;6,00;10,00;8,00;2,00;6,00;3,00;3,00;5,00;2,00
2019-05-12;4,00;6,00;2,00;1,00;6,00;2,00;3,00;6,00;2,00
2019-05-19;5,00;1,67;10,00;1,67;5,00;1,00;5,00;4,00;2,00
2019-05-26;4,00;2,00;8,00;2,00;4,00;2,00;5,00;4,00;2,00
2019-06-02;4,00;6,00;6,00;1,00;4,00;1,00;6,00;7,00;2,00
2019-06-09;4,00;6,00;8,00;2,00;4,00;3,00;3,00;5,00;2,00
2019-06-16;5,00;5,00;5,00;1,67;3,33;2,00;5,00;4,00;3,00
2019-06-23;4,00;6,00;4,00;2,00;6,00;4,00;4,00;5,00;2,00
2019-06-30;4,00;8,00;6,00;2,00;6,00;3,00;5,00;4,00;3,00
2019-07-07;6,00;12,00;6,00;2,00;10,00;3,00;7,00;5,00;3,00
2019-07-14;6,00;6,00;9,00;1,50;4,50;3,00;10,00;7,00;2,00
2019-07-21;8,00;4,00;14,00;2,00;6,00;4,00;6,00;6,00;3,00
