Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;46,00;13,00;12,00;3,00;7,00;3,17;84,07;72,97;4,76
2019-01-13;55,00;16,00;3,00;3,00;2,00;3,14;81,71;73,86;4,71
2019-01-20;66,00;8,00;0,00;4,00;4,00;4,71;103,71;67,57;6,29
2019-01-27;54,00;15,00;12,00;2,00;3,00;3,18;88,94;63,53;4,76
2019-02-03;42,00;11,00;19,00;3,00;5,00;3,11;143,11;80,89;4,67
2019-02-10;65,00;5,00;19,00;2,00;5,00;3,17;150,61;84,02;6,34
2019-02-17;56,00;8,00;9,00;4,00;6,00;4,67;126,00;88,67;6,22
2019-02-24;67,00;13,00;13,00;4,00;1,00;3,19;113,26;82,95;6,38
2019-03-03;61,00;11,00;12,00;3,00;4,00;4,69;100,10;84,46;6,26
2019-03-10;57,00;8,00;15,00;4,00;4,00;3,17;109,25;76,00;4,75
2019-03-17;55,00;14,00;16,00;6,00;4,00;6,29;99,00;78,57;4,71
2019-03-24;74,00;25,00;13,00;6,00;3,00;6,30;99,19;75,57;6,30
2019-03-31;56,00;11,00;22,00;1,00;2,00;1,56;107,33;68,44;6,22
2019-04-07;68,00;11,00;12,00;3,00;1,00;6,33;137,58;80,65;7,91
2019-04-14;66,00;9,00;10,00;7,00;4,00;4,71;136,71;88,00;6,29
2019-04-21;63,00;8,00;17,00;5,00;5,00;7,88;143,33;74,03;6,30
2019-04-28;54,00;3,00;9,00;2,00;6,00;4,76;130,24;79,41;6,35
2019-05-05;54,00;10,00;18,00;4,00;5,00;4,76;109,59;79,41;6,35
2019-05-12;53,00;5,00;6,00;5,00;4,00;9,35;85,74;84,18;6,24
2019-05-19;54,00;8,00;22,00;3,00;2,00;7,94;135,00;81,00;6,35
2019-05-26;59,00;10,00;13,00;4,00;3,00;9,32;107,13;82,29;6,21
2019-06-02;65,00;12,00;16,00;5,00;6,00;6,34;106,22;74,51;7,93
2019-06-09;68,00;15,00;9,00;5,00;3,00;14,23;118,60;74,33;9,49
2019-06-16;65,00;29,00;6,00;5,00;9,00;9,51;125,24;80,85;7,93
2019-06-23;68,00;11,00;10,00;4,00;5,00;4,74;121,77;83,81;7,91
2019-06-30;82,00;17,00;16,00;5,00;4,00;3,15;152,96;93,04;6,31
2019-07-07;77,00;11,00;13,00;4,00;7,00;4,71;150,86;78,57;6,29
2019-07-14;81,00;15,00;18,00;3,00;3,00;3,18;158,82;92,12;4,76
2019-07-21;72,00;15,00;23,00;3,00;1,00;6,40;131,20;88,00;8,00
2019-07-28;95,00;12,00;27,00;5,00;1,00;4,75;142,50;95,00;6,33
2019-08-04;100,00;14,00;14,00;4,00;9,00;4,76;147,62;92,06;6,35
2019-08-11;75,00;26,00;16,00;6,00;4,00;9,38;148,44;96,88;7,81
2019-08-18;67,00;17,00;6,00;2,00;4,00;3,19;145,17;97,31;6,38
2019-08-25;67,00;16,00;12,00;2,00;2,00;4,67;121,53;91,93;6,23
2019-09-01;57,00;11,00;15,00;3,00;4,00;7,92;82,33;79,17;4,75
2019-09-08;69,00;14,00;19,00;2,00;3,00;4,81;131,58;78,63;6,42
2019-09-15;60,00;16,00;22,00;5,00;8,00;6,32;90,00;88,42;4,74
2019-09-22;56,00;8,00;9,00;4,00;8,00;4,67;108,89;76,22;4,67
2019-09-29;60,00;15,00;12,00;3,00;1,00;1,58;123,16;85,26;6,32
2019-10-06;56,00;13,00;3,00;3,00;3,00;4,67;94,89;79,33;4,67
2019-10-13;66,00;5,00;12,00;3,00;4,00;3,14;152,43;77,00;6,29
2019-10-20;59,00;8,00;12,00;3,00;1,00;1,59;108,43;78,14;6,38
2019-10-27;58,00;8,00;15,00;3,00;2,00;4,70;100,32;76,81;6,27
2019-11-03;49,00;23,00;9,00;1,00;2,00;4,74;150,16;74,29;6,32
2019-11-10;46,00;15,00;0,00;3,00;2,00;3,17;106,28;76,14;4,76
2019-11-17;45,00;5,00;9,00;2,00;2,00;0,78;105,52;62,07;4,66
2019-11-24;47,00;12,00;17,00;2,00;1,00;3,13;111,23;72,07;6,27
2019-12-01;48,00;5,00;3,00;3,00;0,00;1,60;84,80;59,20;6,40
2019-12-08;41,00;12,00;3,00;3,00;2,00;1,58;93,04;59,92;4,73
2019-12-15;42,00;14,00;12,00;5,00;1,00;3,11;91,78;63,78;6,22
2019-12-22;40,00;16,00;4,00;2,00;4,00;1,60;153,60;57,60;6,40
2019-12-29;40,00;18,00;10,00;3,00;3,00;3,20;124,80;76,80;6,40
2020-01-05;35,00;9,00;17,00;3,00;3,00;3,18;90,68;84,32;6,36
2020-01-12;47,00;11,00;14,00;3,00;1,00;3,13;101,83;70,50;6,27
2020-01-19;49,00;7,00;11,00;4,00;3,00;1,58;94,84;74,29;4,74
2020-01-26;45,00;5,00;11,00;3,00;4,00;3,10;102,41;63,62;4,66
2020-02-02;51,00;7,00;17,00;2,00;1,00;1,59;108,38;65,34;4,78
2020-02-09;47,00;23,00;6,00;2,00;2,00;4,70;125,33;65,80;4,70
2020-02-16;51,00;12,00;14,00;2,00;4,00;3,19;137,06;76,50;4,78
2020-02-23;49,00;16,00;16,00;3,00;2,00;1,58;128,03;63,23;6,32
2020-03-01;40,00;7,00;3,00;2,00;3,00;1,60;96,00;70,40;4,80
2020-03-08;38,00;7,00;5,00;1,00;2,00;0,79;69,67;50,67;3,17
