Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;27,00;57,86;57,86;42,43;354,86;57,00;75,00;27,00;13,00
2019-04-28;23,00;72,83;49,83;38,33;322,00;54,00;69,00;34,00;14,00
2019-05-05;25,00;62,50;54,17;45,83;341,67;50,00;51,00;38,00;13,00
2019-05-12;28,00;60,00;44,00;44,00;304,00;50,00;57,00;33,00;14,00
2019-05-19;25,00;75,00;50,00;45,83;325,00;48,00;54,00;40,00;14,00
2019-05-26;26,00;73,67;65,00;39,00;381,33;44,00;65,00;32,00;15,00
2019-06-02;28,00;88,00;40,00;40,00;336,00;54,00;65,00;34,00;16,00
2019-06-09;30,00;68,57;55,71;42,86;377,14;47,00;56,00;38,00;15,00
2019-06-16;28,00;80,00;48,00;44,00;380,00;46,00;46,00;40,00;15,00
2019-06-23;23,00;76,67;53,67;46,00;368,00;50,00;55,00;39,00;17,00
2019-06-30;26,00;78,00;48,29;44,57;349,14;46,00;66,00;37,00;14,00
2019-07-07;25,00;100,00;58,33;45,83;379,17;45,00;70,00;38,00;14,00
2019-07-14;28,00;92,00;64,00;48,00;360,00;57,00;85,00;37,00;13,00
2019-07-21;23,00;92,00;65,17;46,00;379,50;58,00;77,00;46,00;14,00
2019-07-28;27,00;92,57;54,00;46,29;366,43;53,00;87,00;46,00;12,00
2019-08-04;28,00;88,00;48,00;52,00;384,00;66,00;68,00;36,00;12,00
2019-08-11;26,00;95,33;65,00;60,67;433,33;60,00;71,00;37,00;12,00
2019-08-18;25,00;100,00;45,83;58,33;366,67;68,00;63,00;34,00;13,00
2019-08-25;21,00;63,00;54,60;58,80;373,80;50,00;45,00;40,00;12,00
2019-09-01;26,00;73,67;65,00;47,67;372,67;59,00;54,00;40,00;14,00
2019-09-08;30,00;75,00;52,50;45,00;333,75;55,00;68,00;41,00;13,00
2019-09-15;26,00;63,14;63,14;40,86;315,71;58,00;60,00;45,00;14,00
2019-09-22;29,00;70,43;66,29;53,86;343,86;61,00;67,00;38,00;15,00
2019-09-29;30,00;94,29;64,29;51,43;364,29;61,00;49,00;40,00;14,00
2019-10-06;25,00;70,83;75,00;54,17;341,67;53,00;74,00;41,00;13,00
2019-10-13;25,00;83,33;62,50;41,67;350,00;59,00;76,00;38,00;13,00
2019-10-20;25,00;87,50;75,00;45,83;375,00;61,00;69,00;41,00;12,00
2019-10-27;24,00;96,00;60,00;52,00;360,00;100,00;45,00;35,00;11,00
2019-11-03;20,00;88,00;52,00;52,00;324,00;65,00;42,00;33,00;12,00
2019-11-10;23,00;80,50;49,83;46,00;295,17;65,00;58,00;34,00;12,00
2019-11-17;20,00;68,00;48,00;40,00;308,00;56,00;57,00;33,00;12,00
2019-11-24;20,00;68,00;44,00;44,00;292,00;62,00;52,00;30,00;12,00
2019-12-01;21,00;75,60;50,40;50,40;323,40;58,00;53,00;33,00;12,00
2019-12-08;19,00;64,60;41,80;34,20;266,00;57,00;57,00;31,00;13,00
2019-12-15;25,00;66,67;58,33;37,50;329,17;53,00;51,00;33,00;13,00
2019-12-22;30,00;82,50;52,50;41,25;345,00;74,00;78,00;35,00;16,00
2019-12-29;28,00;88,00;60,00;44,00;352,00;78,00;64,00;40,00;15,00
2020-01-05;24,00;68,00;44,00;48,00;300,00;72,00;58,00;45,00;17,00
2020-01-12;25,00;79,17;62,50;54,17;325,00;61,00;59,00;45,00;19,00
2020-01-19;21,00;84,00;50,40;50,40;323,40;62,00;57,00;41,00;19,00
2020-01-26;21,00;71,40;42,00;50,40;298,20;50,00;50,00;36,00;14,00
2020-02-02;19,00;76,00;49,40;41,80;296,40;51,00;58,00;39,00;15,00
2020-02-09;23,00;61,33;53,67;38,33;306,67;55,00;64,00;41,00;15,00
2020-02-16;26,00;82,33;56,33;52,00;364,00;48,00;59,00;38,00;16,00
2020-02-23;24,00;84,00;44,00;40,00;308,00;44,00;73,00;39,00;17,00
2020-03-01;22,00;74,80;48,40;39,60;286,00;38,00;38,00;35,00;16,00
2020-03-08;16,00;72,00;36,00;28,00;268,00;24,00;46,00;30,00;17,00
2020-03-15;8,00;40,00;20,00;16,00;160,00;25,00;28,00;19,00;12,00
2020-03-22;8,00;24,00;20,00;12,00;92,00;16,00;14,00;11,00;8,00
2020-03-29;9,00;27,00;27,00;18,00;90,00;15,00;17,00;11,00;7,00
2020-04-05;7,00;21,00;10,50;10,50;66,50;16,00;13,00;12,00;8,00
2020-04-12;6,00;12,00;12,00;12,00;57,00;16,00;14,00;10,00;8,00
2020-04-19;4,00;20,00;8,00;8,00;68,00;17,00;11,00;11,00;7,00
2020-04-26;5,00;20,00;15,00;10,00;100,00;14,00;10,00;9,00;5,00
2020-05-03;5,00;20,00;15,00;10,00;105,00;13,00;11,00;12,00;6,00
2020-05-10;8,00;12,00;16,00;12,00;108,00;17,00;13,00;11,00;6,00
2020-05-17;7,00;17,50;10,50;10,50;105,00;17,00;10,00;11,00;6,00
2020-05-24;6,00;30,00;24,00;12,00;216,00;15,00;18,00;10,00;6,00
2020-05-31;8,00;24,00;20,00;16,00;176,00;17,00;21,00;11,00;6,00
2020-06-07;11,00;29,33;11,00;11,00;168,67;19,00;28,00;11,00;7,00
2020-06-14;10,00;40,00;35,00;15,00;255,00;18,00;22,00;14,00;7,00
2020-06-21;10,00;50,00;35,00;15,00;285,00;18,00;38,00;15,00;7,00
2020-06-28;13,00;47,67;26,00;13,00;251,33;20,00;42,00;20,00;5,00
2020-07-05;14,00;79,33;46,67;18,67;289,33;19,00;54,00;20,00;6,00
2020-07-12;17,00;89,25;25,50;17,00;280,50;20,00;55,00;22,00;7,00
2020-07-19;18,00;61,20;25,20;14,40;234,00;18,00;53,00;26,00;8,00
2020-07-26;15,00;41,25;26,25;15,00;232,50;20,00;47,00;21,00;7,00
2020-08-02;12,00;44,00;28,00;16,00;268,00;19,00;43,00;22,00;7,00
2020-08-09;13,00;47,67;26,00;17,33;277,33;28,00;55,00;17,00;7,00
2020-08-16;13,00;39,00;26,00;26,00;260,00;22,00;29,00;14,00;7,00
2020-08-23;12,00;40,00;20,00;20,00;216,00;21,00;25,00;13,00;6,00
2020-08-30;7,00;31,50;21,00;14,00;185,50;19,00;18,00;14,00;7,00
2020-09-06;8,00;28,00;16,00;16,00;204,00;19,00;25,00;12,00;6,00
2020-09-13;10,00;35,00;15,00;20,00;270,00;19,00;26,00;12,00;6,00
2020-09-20;8,00;28,00;24,00;20,00;204,00;30,00;27,00;13,00;6,00
2020-09-27;7,00;28,00;10,50;17,50;164,50;21,00;21,00;12,00;8,00
2020-10-04;6,00;24,00;12,00;15,00;135,00;23,00;22,00;15,00;8,00
2020-10-11;6,00;15,00;12,00;12,00;144,00;21,00;17,00;15,00;8,00
2020-10-18;6,00;36,00;24,00;24,00;276,00;16,00;18,00;12,00;7,00
2020-10-25;6,00;36,00;24,00;18,00;234,00;21,00;18,00;10,00;7,00
2020-11-01;4,00;16,00;12,00;12,00;80,00;39,00;11,00;10,00;5,00
2020-11-08;5,00;15,00;20,00;15,00;120,00;16,00;19,00;11,00;6,00
2020-11-15;5,00;20,00;15,00;10,00;120,00;13,00;19,00;12,00;7,00
2020-11-22;4,00;24,00;16,00;12,00;108,00;15,00;12,00;11,00;6,00
2020-11-29;5,00;35,00;20,00;15,00;155,00;18,00;14,00;11,00;7,00
2020-12-06;6,00;24,00;18,00;18,00;204,00;18,00;15,00;10,00;7,00
2020-12-13;5,00;35,00;20,00;15,00;190,00;13,00;13,00;9,00;7,00
2020-12-20;5,00;30,00;15,00;10,00;185,00;15,00;11,00;11,00;7,00
2020-12-27;6,00;21,00;15,00;12,00;120,00;20,00;16,00;11,00;7,00
2021-01-03;5,00;25,00;15,00;15,00;190,00;19,00;15,00;10,00;7,00
2021-01-10;7,00;31,50;17,50;14,00;140,00;20,00;14,00;9,00;6,00
2021-01-17;5,00;20,00;15,00;15,00;175,00;20,00;14,00;11,00;7,00
2021-01-24;6,00;15,00;9,00;6,00;93,00;14,00;8,00;8,00;6,00
2021-01-31;6,00;24,00;18,00;12,00;198,00;17,00;12,00;7,00;6,00
2021-02-07;5,00;30,00;15,00;20,00;175,00;16,00;13,00;8,00;6,00
