Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;33,00;28,00;25,00;20,00;25,00;12,00;14,00;16,00;0,50
2019-01-13;42,00;33,00;32,00;13,00;39,00;12,00;30,00;20,00;0,50
2019-01-20;50,00;43,00;44,00;16,00;36,00;10,00;24,00;19,00;1,00
2019-01-27;36,00;11,00;12,00;24,00;32,00;8,00;26,00;14,00;1,00
2019-02-03;35,00;17,00;13,00;18,00;37,00;7,00;30,00;14,00;0,50
2019-02-10;33,00;6,00;39,00;18,00;39,00;9,00;14,00;21,00;1,00
2019-02-17;33,00;17,00;7,00;13,00;54,00;13,00;23,00;7,00;0,50
2019-02-24;38,00;27,00;32,00;17,00;45,00;9,00;14,00;21,00;1,00
2019-03-03;30,00;11,00;0,00;11,00;47,00;9,00;14,00;11,00;1,00
2019-03-10;37,00;22,00;6,00;12,00;48,00;10,00;14,00;15,00;0,50
2019-03-17;33,00;39,00;33,00;11,00;45,00;9,00;22,00;16,00;1,00
2019-03-24;39,00;23,00;33,00;19,00;42,00;10,00;20,00;15,00;1,00
2019-03-31;37,00;11,00;13,00;13,00;47,00;7,00;17,00;14,00;1,00
2019-04-07;33,00;30,00;18,00;14,00;51,00;12,00;11,00;18,00;1,00
2019-04-14;52,00;18,00;21,00;10,00;52,00;9,00;6,00;14,00;1,00
2019-04-21;41,00;34,00;0,00;14,00;38,00;17,00;9,00;13,00;1,00
2019-04-28;37,00;16,00;0,00;16,00;38,00;15,00;30,00;18,00;1,00
2019-05-05;34,00;5,00;12,00;17,00;33,00;6,00;13,00;19,00;1,00
2019-05-12;28,00;33,00;13,00;19,00;42,00;9,00;19,00;18,00;1,00
2019-05-19;43,00;27,00;13,00;16,00;45,00;10,00;16,00;20,00;1,00
2019-05-26;40,00;16,00;27,00;11,00;49,00;10,00;24,00;23,00;3,00
2019-06-02;36,00;10,00;6,00;18,00;66,00;11,00;25,00;22,00;1,00
2019-06-09;35,00;42,00;13,00;19,00;63,00;10,00;21,00;31,00;2,00
2019-06-16;42,00;22,00;26,00;18,00;66,00;12,00;13,00;22,00;0,50
2019-06-23;41,00;41,00;28,00;6,00;51,00;12,00;19,00;16,00;1,00
2019-06-30;41,00;41,00;34,00;23,00;70,00;9,00;13,00;18,00;1,00
2019-07-07;36,00;28,00;20,00;12,00;53,00;15,00;21,00;23,00;1,00
2019-07-14;48,00;43,00;29,00;18,00;72,00;14,00;22,00;26,00;0,50
2019-07-21;51,00;31,00;40,00;16,00;60,00;17,00;12,00;14,00;1,00
2019-07-28;48,00;12,00;16,00;25,00;78,00;21,00;18,00;15,00;1,00
2019-08-04;50,00;36,00;22,00;19,00;65,00;20,00;27,00;25,00;2,00
2019-08-11;46,00;17,00;20,00;11,00;63,00;18,00;34,00;22,00;1,00
2019-08-18;47,00;12,00;20,00;17,00;55,00;8,00;26,00;17,00;1,00
2019-08-25;32,00;34,00;45,00;14,00;41,00;11,00;33,00;19,00;0,50
2019-09-01;40,00;49,00;6,00;14,00;44,00;6,00;26,00;19,00;2,00
2019-09-08;34,00;11,00;13,00;17,00;25,00;7,00;8,00;13,00;2,00
2019-09-15;40,00;17,00;13,00;17,00;28,00;9,00;19,00;15,00;2,00
2019-09-22;30,00;5,00;13,00;15,00;30,00;10,00;15,00;21,00;3,00
2019-09-29;33,00;10,00;6,00;11,00;30,00;17,00;23,00;15,00;2,00
2019-10-06;37,00;11,00;13,00;12,00;30,00;8,00;15,00;23,00;2,00
2019-10-13;49,00;21,00;19,00;11,00;27,00;5,00;5,00;23,00;3,00
2019-10-20;41,00;5,00;18,00;13,00;20,00;1,00;10,00;14,00;1,00
2019-10-27;25,00;22,00;12,00;10,00;32,00;9,00;5,00;11,00;1,00
2019-11-03;43,00;15,00;18,00;13,00;20,00;8,00;8,00;15,00;2,00
2019-11-10;40,00;16,00;18,00;10,00;31,00;4,00;18,00;17,00;2,00
2019-11-17;23,00;21,00;12,00;11,00;33,00;3,00;21,00;13,00;2,00
2019-11-24;28,00;15,00;18,00;11,00;20,00;3,00;7,00;12,00;2,00
2019-12-01;29,00;0,00;18,00;10,00;31,00;5,00;18,00;10,00;1,00
2019-12-08;24,00;15,00;6,00;14,00;21,00;1,00;16,00;10,00;3,00
2019-12-15;30,00;20,00;19,00;11,00;31,00;6,00;13,00;20,00;4,00
2019-12-22;26,00;17,00;22,00;10,00;27,00;3,00;14,00;26,00;6,00
2019-12-29;33,00;32,00;14,00;16,00;28,00;13,00;8,00;21,00;3,00
2020-01-05;36,00;39,00;6,00;13,00;37,00;10,00;25,00;20,00;4,00
2020-01-12;35,00;29,00;17,00;20,00;34,00;2,00;22,00;20,00;5,00
2020-01-19;37,00;15,00;6,00;12,00;25,00;12,00;17,00;29,00;4,00
2020-01-26;48,00;54,00;23,00;11,00;44,00;6,00;27,00;21,00;3,00
2020-02-02;35,00;25,00;6,00;18,00;33,00;5,00;22,00;21,00;4,00
2020-02-09;32,00;5,00;12,00;14,00;23,00;10,00;14,00;15,00;3,00
2020-02-16;46,00;29,00;18,00;19,00;36,00;4,00;5,00;21,00;3,00
2020-02-23;34,00;14,00;11,00;12,00;27,00;6,00;17,00;18,00;3,00
2020-03-01;32,00;29,00;11,00;9,00;38,00;6,00;7,00;15,00;4,00
2020-03-08;15,00;28,00;5,00;7,00;18,00;1,00;9,00;11,00;5,00
2020-03-15;11,00;9,00;0,00;4,00;11,00;1,00;7,00;7,00;3,00
2020-03-22;7,00;5,00;5,00;2,00;5,00;2,00;2,00;5,00;3,00
2020-03-29;3,00;22,00;0,00;1,00;6,00;3,00;4,00;5,00;3,00
2020-04-05;6,00;5,00;0,00;5,00;1,00;1,00;0,00;8,00;4,00
2020-04-12;7,00;4,00;11,00;3,00;10,00;1,00;5,00;4,00;3,00
2020-04-19;5,00;9,00;0,00;3,00;10,00;1,00;0,00;5,00;2,00
2020-04-26;4,00;0,00;10,00;1,00;6,00;1,00;2,00;8,00;3,00
2020-05-03;6,00;0,00;11,00;3,00;5,00;2,00;5,00;7,00;3,00
2020-05-10;12,00;4,00;11,00;5,00;15,00;4,00;11,00;7,00;4,00
2020-05-17;11,00;5,00;6,00;5,00;25,00;1,00;5,00;10,00;5,00
2020-05-24;23,00;4,00;17,00;12,00;27,00;5,00;9,00;5,00;2,00
2020-05-31;35,00;4,00;27,00;8,00;15,00;4,00;0,00;11,00;6,00
2020-06-07;19,00;13,00;11,00;17,00;27,00;11,00;8,00;29,00;25,00
2020-06-14;33,00;22,00;16,00;10,00;45,00;7,00;21,00;17,00;12,00
2020-06-21;40,00;23,00;6,00;10,00;43,00;8,00;16,00;15,00;14,00
2020-06-28;52,00;27,00;34,00;13,00;39,00;10,00;28,00;9,00;4,00
2020-07-05;48,00;19,00;12,00;14,00;42,00;11,00;18,00;15,00;5,00
