Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;66,00;67,00;69,00;73,00;73,00;59,65;63,46;53,31;34,27
2019-01-13;63,00;56,00;53,00;70,00;71,00;61,71;56,57;52,71;34,71
2019-01-20;61,00;58,00;64,00;63,00;68,00;55,92;50,83;50,83;33,04
2019-01-27;46,00;49,00;63,00;63,00;73,00;52,39;39,61;48,56;30,67
2019-02-03;47,00;47,00;55,00;59,00;69,00;50,81;40,65;45,73;30,49
2019-02-10;49,00;44,00;55,00;56,00;73,00;52,87;38,68;42,55;32,24
2019-02-17;49,00;40,00;44,00;51,00;72,00;55,45;43,84;47,71;33,53
2019-02-24;58,00;47,00;56,00;51,00;72,00;54,13;36,09;47,69;32,22
2019-03-03;52,00;46,00;53,00;49,00;73,00;53,30;39,00;46,80;36,40
2019-03-10;48,00;40,00;52,00;50,00;73,00;55,78;36,32;45,41;33,73
2019-03-17;48,00;45,00;52,00;50,00;70,00;51,79;31,58;46,74;32,84
2019-03-24;49,00;42,00;44,00;46,00;75,00;54,16;33,53;43,84;32,24
2019-03-31;57,00;50,00;45,00;41,00;67,00;54,47;38,00;45,60;32,93
2019-04-07;61,00;55,00;57,00;42,00;74,00;53,38;35,58;54,65;30,50
2019-04-14;59,00;43,00;56,00;43,00;62,00;57,72;37,20;46,17;30,78
2019-04-21;58,00;48,00;51,00;48,00;61,00;59,29;33,51;45,11;29,64
2019-04-28;56,00;46,00;55,00;48,00;54,00;59,91;45,58;49,49;31,26
2019-05-05;55,00;45,00;58,00;43,00;66,00;56,28;40,93;47,33;30,70
2019-05-12;54,00;47,00;50,00;45,00;70,00;54,00;39,86;48,86;32,14
2019-05-19;52,00;44,00;59,00;45,00;69,00;50,70;40,30;49,40;33,80
2019-05-26;48,00;44,00;51,00;44,00;70,00;48,00;36,63;49,26;32,84
2019-06-02;53,00;47,00;52,00;42,00;68,00;56,79;39,12;50,48;35,33
2019-06-09;54,00;55,00;57,00;53,00;79,00;68,14;38,57;50,14;37,29
2019-06-16;57,00;51,00;53,00;50,00;77,00;60,89;36,27;47,93;37,57
2019-06-23;52,00;47,00;47,00;45,00;87,00;64,68;35,51;52,00;36,78
2019-06-30;59,00;53,00;70,00;54,00;91,00;66,70;42,33;51,30;33,35
2019-07-07;60,00;64,00;68,00;61,00;90,00;72,77;52,34;54,89;34,47
2019-07-14;64,00;68,00;66,00;56,00;86,00;70,40;51,20;53,76;34,56
2019-07-21;64,00;53,00;69,00;57,00;89,00;74,24;44,80;53,76;34,56
