Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;54,00;78,00;14,00;10,00;6,00;13,17;106,68;7,90;22,39
2019-01-13;51,00;69,00;18,00;11,00;5,00;14,76;110,05;6,71;22,82
2019-01-20;43,00;63,00;11,00;11,00;6,00;14,33;93,82;9,12;20,85
2019-01-27;46,00;70,00;11,00;11,00;5,00;10,51;94,63;6,57;22,34
2019-02-03;44,00;71,00;18,00;12,00;5,00;14,67;113,33;6,67;22,67
2019-02-10;45,00;77,00;16,00;11,00;2,00;15,88;107,21;7,94;23,82
2019-02-17;42,00;57,00;16,00;14,00;5,00;11,81;105,00;7,88;23,63
2019-02-24;42,00;72,00;15,00;11,00;4,00;18,38;93,19;6,56;23,63
2019-03-03;43,00;87,00;14,00;14,00;4,00;11,73;106,85;6,52;24,76
2019-03-10;45,00;71,00;19,00;10,00;4,00;13,24;91,32;6,62;23,82
2019-03-17;50,00;76,00;15,00;11,00;4,00;11,84;97,37;5,26;22,37
2019-03-24;37,00;74,00;14,00;14,00;4,00;13,21;79,29;6,61;23,79
2019-03-31;46,00;83,00;16,00;12,00;5,00;11,83;92,00;6,57;22,34
2019-04-07;49,00;68,00;12,00;11,00;4,00;14,57;105,95;7,95;22,51
2019-04-14;43,00;75,00;12,00;12,00;7,00;14,78;69,88;8,06;21,50
2019-04-21;44,00;70,00;25,00;14,00;2,00;15,53;75,06;5,18;20,71
2019-04-28;44,00;68,00;17,00;12,00;6,00;14,67;93,33;5,33;21,33
2019-05-05;44,00;71,00;16,00;12,00;5,00;18,12;93,18;6,47;23,29
2019-05-12;43,00;58,00;26,00;12,00;6,00;13,44;92,72;8,06;24,19
2019-05-19;45,00;61,00;19,00;12,00;7,00;11,91;83,38;6,62;22,50
2019-05-26;45,00;66,00;21,00;13,00;4,00;10,59;96,62;6,62;25,15
2019-06-02;48,00;68,00;14,00;14,00;5,00;17,33;100,00;6,67;24,00
2019-06-09;49,00;86,00;16,00;16,00;6,00;14,18;107,03;7,74;23,21
2019-06-16;54,00;57,00;14,00;13,00;6,00;14,49;90,88;7,90;23,71
2019-06-23;48,00;66,00;17,00;14,00;5,00;18,67;94,67;8,00;24,00
2019-06-30;57,00;87,00;13,00;15,00;9,00;17,23;107,37;9,28;25,19
2019-07-07;57,00;94,00;27,00;16,00;7,00;15,91;121,95;9,28;25,19
2019-07-14;58,00;100,00;13,00;18,00;8,00;17,14;125,23;7,91;23,73
2019-07-21;52,00;86,00;25,00;17,00;7,00;20,00;117,33;8,00;24,00
2019-07-28;62,00;79,00;16,00;16,00;10,00;21,11;121,36;6,60;22,43
2019-08-04;57,00;91,00;14,00;13,00;7,00;18,14;111,41;9,07;20,73
2019-08-11;55,00;72,00;11,00;14,00;8,00;17,02;106,07;7,86;19,64
2019-08-18;44,00;73,00;23,00;10,00;9,00;20,00;108,00;9,33;20,00
2019-08-25;44,00;54,00;18,00;11,00;5,00;12,94;110,00;9,06;19,41
2019-09-01;43,00;72,00;11,00;10,00;7,00;16,13;111,53;10,75;20,16
2019-09-08;43,00;68,00;14,00;12,00;6,00;16,13;99,44;12,09;18,81
2019-09-15;44,00;68,00;17,00;12,00;7,00;12,94;91,88;10,35;20,71
2019-09-22;37,00;68,00;14,00;11,00;5,00;14,54;92,50;10,57;21,14
2019-09-29;41,00;67,00;22,00;11,00;5,00;15,87;87,29;10,58;22,48
2019-10-06;43,00;64,00;15,00;14,00;6,00;14,33;97,73;11,73;19,55
2019-10-13;42,00;39,00;9,00;11,00;4,00;15,75;80,06;17,06;22,31
2019-10-20;42,00;67,00;15,00;13,00;5,00;11,81;82,69;28,88;32,81
2019-10-27;42,00;54,00;11,00;11,00;5,00;13,13;80,06;18,38;24,94
2019-11-03;41,00;58,00;17,00;11,00;4,00;14,55;82,00;10,58;19,84
2019-11-10;41,00;51,00;8,00;11,00;6,00;13,23;89,94;7,94;21,16
2019-11-17;37,00;48,00;15,00;9,00;5,00;11,89;85,89;10,57;21,14
2019-11-24;44,00;57,00;16,00;11,00;5,00;14,24;77,65;9,06;23,29
2019-12-01;38,00;53,00;14,00;12,00;5,00;17,03;79,93;11,79;20,97
2019-12-08;38,00;60,00;13,00;12,00;6,00;13,10;81,24;11,79;22,28
2019-12-15;40,00;47,00;17,00;12,00;6,00;13,33;85,33;16,00;22,67
2019-12-22;50,00;73,00;13,00;13,00;4,00;14,47;100,00;15,79;25,00
2019-12-29;51,00;78,00;13,00;10,00;7,00;13,08;103,31;14,38;27,46
2020-01-05;48,00;83,00;8,00;12,00;8,00;16,86;123,24;15,57;28,54
2020-01-12;47,00;75,00;17,00;12,00;6,00;14,36;130,56;11,75;28,72
2020-01-19;44,00;87,00;11,00;12,00;5,00;17,33;114,67;13,33;26,67
2020-01-26;47,00;75,00;11,00;10,00;4,00;13,06;114,89;10,44;24,81
2020-02-02;48,00;77,00;14,00;9,00;4,00;11,68;114,16;11,68;22,05
2020-02-09;47,00;63,00;18,00;11,00;3,00;10,44;95,31;10,44;22,19
2020-02-16;49,00;83,00;12,00;11,00;5,00;12,89;94,13;11,61;24,50
2020-02-23;45,00;57,00;12,00;10,00;4,00;11,91;93,97;9,26;25,15
2020-03-01;41,00;53,00;15,00;9,00;6,00;14,55;85,97;7,94;25,13
2020-03-08;42,00;61,00;12,00;12,00;6,00;7,88;94,50;13,13;56,44
2020-03-15;24,00;27,00;7,00;7,00;3,00;4,00;45,33;10,67;25,33
2020-03-22;16,00;13,00;4,00;5,00;3,00;4,00;26,67;5,33;14,67
2020-03-29;13,00;20,00;5,00;4,00;1,00;3,90;23,40;5,20;11,70
2020-04-05;11,00;19,00;6,00;4,00;1,00;4,13;20,63;6,88;11,00
2020-04-12;14,00;7,00;3,00;4,00;2,00;3,82;19,09;3,82;11,45
2020-04-19;11,00;17,00;4,00;3,00;2,00;4,13;19,25;5,50;12,38
2020-04-26;14,00;14,00;2,00;4,00;2,00;4,20;21,00;2,80;12,60
2020-05-03;10,00;18,00;7,00;4,00;1,00;5,00;21,25;6,25;12,50
2020-05-10;15,00;19,00;8,00;4,00;2,00;3,75;28,75;6,25;12,50
2020-05-17;14,00;11,00;10,00;5,00;0,50;6,36;28,00;6,36;14,00
2020-05-24;15,00;26,00;5,00;6,00;2,00;5,45;35,45;4,09;15,00
2020-05-31;23,00;31,00;7,00;6,00;1,00;8,12;43,29;5,41;13,53
2020-06-07;24,00;24,00;11,00;7,00;2,00;7,58;30,32;5,05;16,42
2020-06-14;28,00;30,00;5,00;9,00;2,00;9,33;56,00;5,33;17,33
2020-06-21;30,00;38,00;12,00;9,00;3,00;9,13;36,52;6,52;15,65
2020-06-28;29,00;34,00;7,00;9,00;4,00;9,23;48,77;7,91;14,50
2020-07-05;32,00;28,00;6,00;8,00;2,00;12,00;58,67;8,00;13,33
2020-07-12;30,00;21,00;10,00;9,00;3,00;9,13;56,09;6,52;13,04
2020-07-19;25,00;28,00;7,00;8,00;3,00;10,53;51,32;6,58;14,47
2020-07-26;24,00;12,00;5,00;7,00;3,00;9,33;45,33;8,00;14,67
2020-08-02;30,00;24,00;20,00;7,00;4,00;9,13;37,83;6,52;14,35
2020-08-09;25,00;31,00;11,00;7,00;4,00;10,53;34,21;6,58;13,16
2020-08-16;24,00;28,00;5,00;8,00;3,00;5,33;33,33;6,67;13,33
2020-08-23;21,00;23,00;7,00;6,00;4,00;6,56;28,88;6,56;14,44
