Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;57,00;15,00;70,00;81,00;3,00;93,15;2,78;5,56;4,17
2019-01-13;44,00;10,00;66,00;75,00;2,00;94,88;2,75;5,50;4,13
2019-01-20;46,00;16,00;50,00;66,00;3,00;90,61;4,18;4,18;4,18
2019-01-27;25,00;8,00;65,00;69,00;2,00;72,22;4,17;4,17;2,78
2019-02-03;30,00;8,00;38,00;51,00;2,00;76,36;1,36;5,45;4,09
2019-02-10;28,00;8,00;58,00;61,00;4,00;70,00;1,40;5,60;4,20
2019-02-17;31,00;5,00;60,00;55,00;0,50;67,64;2,82;7,05;4,23
2019-02-24;44,00;11,00;50,00;45,00;4,00;71,50;2,75;6,88;2,75
2019-03-03;27,00;12,00;33,00;54,00;2,00;66,79;2,84;7,11;11,37
2019-03-10;37,00;15,00;32,00;47,00;3,00;65,46;0,00;4,27;5,69
2019-03-17;35,00;13,00;33,00;54,00;3,00;72,80;1,40;5,60;4,20
2019-03-24;35,00;12,00;43,00;50,00;2,00;127,40;1,40;11,20;8,40
2019-03-31;37,00;15,00;32,00;37,00;0,50;61,67;1,37;5,48;4,11
2019-04-07;39,00;18,00;54,00;50,00;4,00;68,25;2,79;4,18;4,18
2019-04-14;44,00;4,00;46,00;40,00;2,00;59,13;2,75;4,13;2,75
2019-04-21;41,00;5,00;51,00;53,00;5,00;77,90;2,73;2,73;2,73
2019-04-28;42,00;24,00;74,00;49,00;3,00;81,20;2,80;5,60;2,80
2019-05-05;39,00;8,00;57,00;50,00;4,00;82,18;1,39;5,57;2,79
2019-05-12;36,00;11,00;58,00;47,00;2,00;74,77;4,15;5,54;2,77
2019-05-19;36,00;16,00;43,00;48,00;2,00;76,15;2,77;5,54;2,77
2019-05-26;35,00;14,00;30,00;47,00;2,00;79,80;2,80;5,60;4,20
2019-06-02;45,00;14,00;32,00;53,00;4,00;136,36;5,45;23,18;12,27
2019-06-09;37,00;11,00;46,00;57,00;4,00;86,81;4,27;8,54;4,27
2019-06-16;38,00;8,00;42,00;69,00;5,00;99,93;4,22;5,63;4,22
2019-06-23;34,00;21,00;45,00;52,00;2,00;94,92;1,42;4,25;4,25
2019-06-30;42,00;21,00;44,00;51,00;3,00;113,40;4,20;5,60;2,80
2019-07-07;53,00;20,00;54,00;67,00;3,00;119,95;5,58;11,16;5,58
2019-07-14;56,00;13,00;60,00;58,00;4,00;99,40;2,80;5,60;2,80
2019-07-21;51,00;11,00;61,00;60,00;5,00;116,17;2,83;8,50;5,67
2019-07-28;54,00;29,00;61,00;57,00;3,00;113,54;1,38;6,92;4,15
2019-08-04;50,00;14,00;61,00;73,00;3,00;129,17;5,56;5,56;4,17
2019-08-11;52,00;9,00;46,00;77,00;5,00;123,68;2,81;7,03;4,22
2019-08-18;61,00;19,00;56,00;63,00;5,00;117,84;1,39;6,93;4,16
2019-08-25;54,00;10,00;34,00;61,00;3,00;103,85;2,77;8,31;4,15
2019-09-01;39,00;18,00;54,00;61,00;5,00;90,54;4,18;6,96;4,18
2019-09-08;46,00;8,00;57,00;58,00;5,00;97,58;2,79;4,18;2,79
2019-09-15;41,00;8,00;44,00;56,00;2,00;82,00;5,66;7,07;2,83
2019-09-22;37,00;19,00;45,00;57,00;4,00;83,96;1,42;5,69;4,27
2019-09-29;36,00;16,00;49,00;54,00;3,00;63,69;4,15;6,92;4,15
2019-10-06;33,00;9,00;40,00;59,00;4,00;74,25;5,50;5,50;4,13
2019-10-13;35,00;11,00;45,00;55,00;3,00;67,20;2,80;4,20;4,20
2019-10-20;40,00;12,00;47,00;51,00;6,00;60,69;4,14;4,14;4,14
2019-10-27;33,00;18,00;32,00;52,00;3,00;58,83;5,74;4,30;2,87
2019-11-03;36,00;18,00;57,00;51,00;4,00;52,62;1,38;5,54;2,77
2019-11-10;34,00;6,00;25,00;49,00;3,00;53,83;1,42;4,25;2,83
2019-11-17;32,00;8,00;18,00;60,00;3,00;51,48;1,39;6,96;4,17
2019-11-24;27,00;4,00;40,00;42,00;1,00;51,16;2,84;5,68;2,84
2019-12-01;27,00;2,00;22,00;47,00;5,00;48,32;1,42;4,26;4,26
2019-12-08;24,00;6,00;27,00;42,00;1,00;46,59;2,82;4,24;4,24
2019-12-15;26,00;7,00;44,00;47,00;2,00;42,42;4,11;8,21;12,32
2019-12-22;32,00;8,00;41,00;78,00;3,00;76,52;4,17;8,35;9,74
2019-12-29;52,00;16,00;67,00;95,00;3,00;81,51;2,81;7,03;5,62
2020-01-05;60,00;10,00;70,00;82,00;3,00;79,53;2,79;6,98;5,58
2020-01-12;50,00;18,00;51,00;75,00;2,00;79,17;2,78;5,56;5,56
