Disney;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;0,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00
2019-01-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00
2019-02-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;0,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00
2019-04-07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;31,00;0,00;0,00;28,93;0,00;0,00;0,00;23,00;0,00
2019-06-02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00
2019-06-09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;0,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00
2019-07-28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;0,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;0,00;94,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;0,00;0,00;0,00;0,00;0,00;0,00;84,00;0,00;0,00
2019-10-13;29,00;0,00;0,00;0,00;0,00;0,00;86,00;0,00;0,00
2019-10-20;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;5,00
2019-10-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;31,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00
2019-12-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00
2020-01-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00
2020-01-26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
