Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;26,00;78,00;56,33;43,33;381,33;60,00;75,00;31,00;14,00
2019-04-28;26,00;73,67;47,67;43,33;364,00;54,00;71,00;35,00;14,00
2019-05-05;27,00;72,00;54,00;54,00;355,50;53,00;53,00;37,00;14,00
2019-05-12;23,00;53,67;46,00;38,33;299,00;51,00;71,00;35,00;15,00
2019-05-19;24,00;72,00;40,00;40,00;300,00;53,00;60,00;40,00;16,00
2019-05-26;25,00;100,00;54,17;41,67;354,17;48,00;78,00;37,00;16,00
2019-06-02;29,00;78,71;53,86;41,43;352,14;54,00;74,00;40,00;16,00
2019-06-09;27,00;67,50;54,00;49,50;414,00;50,00;57,00;38,00;15,00
2019-06-16;25,00;75,00;70,83;50,00;370,83;51,00;54,00;44,00;15,00
2019-06-23;24,00;68,00;52,00;40,00;368,00;52,00;55,00;45,00;16,00
2019-06-30;25,00;83,33;58,33;50,00;383,33;52,00;60,00;42,00;16,00
2019-07-07;29,00;99,43;53,86;45,57;381,14;49,00;77,00;43,00;14,00
2019-07-14;29,00;70,43;49,71;53,86;393,57;60,00;75,00;42,00;14,00
2019-07-21;30,00;90,00;47,14;47,14;394,29;66,00;80,00;46,00;13,00
2019-07-28;30,00;124,29;60,00;60,00;424,29;65,00;86,00;45,00;15,00
2019-08-04;29,00;91,14;58,00;58,00;410,14;59,00;81,00;41,00;14,00
2019-08-11;28,00;92,00;56,00;60,00;400,00;64,00;81,00;41,00;13,00
2019-08-18;27,00;90,00;45,00;58,50;391,50;69,00;65,00;36,00;13,00
2019-08-25;25,00;62,50;54,17;58,33;366,67;56,00;45,00;39,00;13,00
2019-09-01;29,00;66,29;70,43;45,57;331,43;67,00;58,00;37,00;15,00
2019-09-08;27,00;90,00;63,00;49,50;382,50;59,00;73,00;44,00;15,00
2019-09-15;28,00;80,00;64,00;52,00;332,00;60,00;65,00;47,00;15,00
2019-09-22;28,00;68,00;64,00;48,00;340,00;70,00;66,00;42,00;14,00
2019-09-29;31,00;93,00;62,00;57,57;380,86;69,00;54,00;43,00;14,00
2019-10-06;26,00;73,67;78,00;52,00;346,67;65,00;75,00;42,00;14,00
2019-10-13;28,00;76,00;56,00;40,00;336,00;63,00;82,00;40,00;13,00
2019-10-20;24,00;84,00;56,00;36,00;372,00;63,00;71,00;41,00;13,00
2019-10-27;27,00;121,50;58,50;54,00;400,50;100,00;47,00;37,00;13,00
2019-11-03;22,00;118,80;74,80;52,80;347,60;64,00;48,00;34,00;13,00
2019-11-10;23,00;87,40;64,40;55,20;354,20;66,00;55,00;36,00;13,00
2019-11-17;22,00;88,00;61,60;48,40;321,20;59,00;58,00;33,00;12,00
2019-11-24;22,00;74,80;44,00;52,80;316,80;69,00;52,00;34,00;13,00
2019-12-01;24,00;68,00;44,00;52,00;296,00;71,00;60,00;35,00;13,00
2019-12-08;24,00;84,00;44,00;40,00;288,00;57,00;50,00;36,00;13,00
2019-12-15;24,00;72,00;56,00;32,00;304,00;61,00;47,00;38,00;14,00
2019-12-22;33,00;94,88;53,63;41,25;363,00;79,00;78,00;39,00;17,00
2019-12-29;32,00;77,71;68,57;54,86;393,14;86,00;69,00;46,00;16,00
2020-01-05;26,00;65,00;52,00;47,67;316,33;69,00;62,00;44,00;18,00
2020-01-12;28,00;64,00;64,00;56,00;296,00;69,00;58,00;47,00;19,00
2020-01-19;24,00;76,00;36,00;44,00;304,00;63,00;67,00;46,00;19,00
2020-01-26;20,00;72,00;40,00;48,00;292,00;55,00;51,00;37,00;15,00
2020-02-02;23,00;82,80;64,40;59,80;358,80;47,00;58,00;41,00;15,00
2020-02-09;23,00;73,60;64,40;50,60;386,40;53,00;59,00;43,00;16,00
2020-02-16;26,00;78,00;56,33;52,00;359,67;47,00;64,00;42,00;17,00
2020-02-23;20,00;72,00;36,00;40,00;292,00;45,00;68,00;42,00;18,00
2020-03-01;23,00;78,20;46,00;41,40;308,20;41,00;43,00;38,00;17,00
2020-03-08;17,00;68,00;34,00;29,75;289,00;26,00;54,00;28,00;18,00
2020-03-15;9,00;40,50;36,00;18,00;180,00;24,00;28,00;20,00;12,00
2020-03-22;9,00;27,00;18,00;18,00;103,50;20,00;16,00;12,00;9,00
2020-03-29;10,00;30,00;20,00;15,00;100,00;15,00;20,00;11,00;8,00
2020-04-05;8,00;20,00;12,00;12,00;76,00;14,00;7,00;14,00;9,00
2020-04-12;6,00;30,00;18,00;24,00;108,00;20,00;19,00;12,00;8,00
