Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;55,00;74,00;12,00;11,00;5,00;12,38;133,38;6,88;24,75
2019-01-13;49,00;86,00;15,00;11,00;5,00;14,00;121,80;8,40;23,80
2019-01-20;43,00;72,00;20,00;11,00;4,00;13,87;92,94;8,32;22,19
2019-01-27;44,00;79,00;10,00;11,00;4,00;9,63;111,38;6,88;22,00
2019-02-03;44,00;73,00;18,00;12,00;3,00;15,13;119,63;9,63;20,63
2019-02-10;42,00;82,00;13,00;11,00;5,00;13,55;100,26;6,77;23,03
2019-02-17;45,00;60,00;12,00;13,00;4,00;17,73;100,91;6,82;23,18
2019-02-24;46,00;71,00;12,00;14,00;3,00;14,88;101,47;6,76;24,35
2019-03-03;45,00;84,00;10,00;13,00;6,00;12,27;98,18;9,55;24,55
2019-03-10;40,00;53,00;16,00;12,00;4,00;15,17;96,55;6,90;24,83
2019-03-17;51,00;72,00;11,00;13,00;4,00;15,16;93,73;6,89;24,81
2019-03-24;44,00;76,00;14,00;14,00;4,00;15,13;92,13;8,25;23,38
2019-03-31;47,00;78,00;21,00;15,00;5,00;11,06;91,24;6,91;23,50
2019-04-07;51,00;82,00;11,00;13,00;7,00;16,54;96,49;8,27;20,68
2019-04-14;50,00;67,00;21,00;13,00;9,00;15,28;83,33;8,33;22,22
2019-04-21;45,00;71,00;25,00;11,00;3,00;13,64;81,82;6,82;21,82
2019-04-28;47,00;62,00;16,00;12,00;6,00;13,82;96,76;6,91;20,74
2019-05-05;47,00;77,00;16,00;12,00;5,00;17,97;103,68;5,53;23,50
2019-05-12;41,00;62,00;22,00;12,00;5,00;15,03;99,77;6,83;23,23
2019-05-19;45,00;63,00;17,00;14,00;7,00;14,06;91,41;7,03;25,31
2019-05-26;47,00;70,00;26,00;15,00;5,00;12,44;100,91;6,91;23,50
2019-06-02;44,00;70,00;11,00;12,00;4,00;16,50;103,13;6,88;24,75
2019-06-09;51,00;77,00;18,00;15,00;5,00;16,54;96,49;6,89;24,81
2019-06-16;53,00;67,00;14,00;16,00;7,00;16,74;89,26;6,97;26,50
2019-06-23;49,00;82,00;18,00;16,00;6,00;19,06;93,92;6,81;27,22
2019-06-30;59,00;92,00;13,00;16,00;7,00;17,84;115,26;8,23;24,70
2019-07-07;58,00;92,00;28,00;17,00;5,00;16,57;121,52;9,67;24,86
2019-07-14;54,00;97,00;21,00;15,00;8,00;18,00;138,46;9,69;24,92
2019-07-21;56,00;87,00;27,00;16,00;10,00;20,49;114,73;8,20;24,59
2019-07-28;64,00;77,00;21,00;18,00;9,00;19,06;113,02;6,81;21,79
2019-08-04;58,00;88,00;20,00;13,00;8,00;22,10;122,90;9,67;22,10
2019-08-11;51,00;81,00;16,00;13,00;9,00;19,30;106,14;6,89;20,68
2019-08-18;46,00;67,00;23,00;13,00;6,00;16,73;112,91;8,36;20,91
2019-08-25;44,00;55,00;7,00;12,00;5,00;13,75;108,63;9,63;19,25
2019-09-01;44,00;70,00;13,00;9,00;5,00;19,25;99,00;8,25;22,00
2019-09-08;41,00;60,00;19,00;12,00;7,00;17,77;95,67;9,57;19,13
2019-09-15;42,00;72,00;17,00;11,00;6,00;13,55;92,13;9,48;20,32
2019-09-22;40,00;76,00;19,00;12,00;5,00;13,79;91,03;11,03;23,45
2019-09-29;42,00;57,00;22,00;12,00;6,00;14,90;92,13;10,84;20,32
2019-10-06;44,00;62,00;15,00;12,00;6,00;12,38;90,75;11,00;22,00
2019-10-13;44,00;59,00;15,00;12,00;4,00;15,13;83,88;15,13;23,38
2019-10-20;45,00;65,00;14,00;11,00;6,00;12,27;83,18;34,09;31,36
2019-10-27;40,00;52,00;11,00;11,00;3,00;15,17;86,90;19,31;23,45
2019-11-03;41,00;61,00;18,00;12,00;4,00;13,67;84,73;9,57;20,50
2019-11-10;38,00;63,00;15,00;12,00;5,00;18,30;87,26;9,85;21,11
2019-11-17;38,00;61,00;17,00;11,00;4,00;14,07;88,67;11,26;22,52
2019-11-24;44,00;55,00;13,00;9,00;5,00;16,50;85,25;9,63;24,75
2019-12-01;45,00;54,00;14,00;14,00;5,00;15,47;85,78;15,47;22,50
2019-12-08;39,00;58,00;13,00;10,00;6,00;15,32;86,36;12,54;23,68
2019-12-15;42,00;51,00;17,00;12,00;5,00;14,00;86,80;18,20;23,80
2019-12-22;44,00;64,00;18,00;11,00;5,00;16,50;89,38;16,50;26,13
2019-12-29;50,00;74,00;15,00;10,00;7,00;15,28;106,94;15,28;29,17
2020-01-05;49,00;92,00;13,00;13,00;8,00;16,80;134,40;14,00;28,00
2020-01-12;49,00;71,00;20,00;11,00;7,00;12,25;129,31;10,89;28,58
2020-01-19;46,00;59,00;12,00;12,00;5,00;14,88;105,53;12,18;27,06
2020-01-26;50,00;78,00;11,00;11,00;4,00;12,50;115,28;9,72;23,61
2020-02-02;48,00;83,00;12,00;10,00;3,00;13,71;106,97;12,34;24,69
2020-02-09;49,00;63,00;21,00;11,00;5,00;10,89;99,36;10,89;21,78
2020-02-16;53,00;77,00;11,00;9,00;5,00;12,55;103,21;12,55;25,11
2020-02-23;49,00;61,00;8,00;9,00;4,00;14,00;91,00;9,80;25,20
2020-03-01;41,00;57,00;8,00;11,00;6,00;11,31;80,59;9,90;26,86
2020-03-08;44,00;55,00;10,00;10,00;6,00;8,25;104,50;13,75;60,50
2020-03-15;23,00;31,00;8,00;7,00;5,00;4,31;51,75;11,50;27,31
2020-03-22;17,00;17,00;8,00;4,00;3,00;2,83;22,67;5,67;15,58
2020-03-29;14,00;16,00;4,00;4,00;2,00;2,80;25,20;5,60;12,60
2020-04-05;9,00;16,00;7,00;3,00;2,00;3,86;19,29;5,14;10,29
2020-04-12;12,00;17,00;2,00;4,00;1,00;2,67;18,67;4,00;10,67
2020-04-19;12,00;17,00;7,00;3,00;2,00;4,00;22,67;4,00;10,67
2020-04-26;11,00;14,00;5,00;4,00;2,00;4,13;20,63;4,13;12,38
2020-05-03;11,00;19,00;6,00;4,00;1,00;5,50;16,50;4,13;12,38
2020-05-10;15,00;17,00;3,00;5,00;2,00;5,45;32,73;5,45;13,64
2020-05-17;16,00;15,00;8,00;6,00;1,00;7,27;27,64;5,82;14,55
2020-05-24;16,00;23,00;10,00;6,00;1,00;5,33;30,67;5,33;13,33
2020-05-31;24,00;32,00;4,00;8,00;2,00;8,00;41,33;5,33;14,67
2020-06-07;26,00;30,00;6,00;8,00;2,00;8,21;42,42;6,84;16,42
2020-06-14;29,00;26,00;14,00;9,00;2,00;8,29;55,24;5,52;17,95
2020-06-21;33,00;43,00;11,00;9,00;3,00;12,38;38,50;5,50;16,50
2020-06-28;29,00;41,00;7,00;10,00;4,00;12,43;53,86;5,52;15,19
2020-07-05;35,00;35,00;5,00;11,00;3,00;11,20;56,00;8,40;14,00
2020-07-12;34,00;20,00;8,00;11,00;3,00;9,92;51,00;7,08;14,17
2020-07-19;28,00;30,00;10,00;9,00;3,00;8,40;53,20;8,40;15,40
2020-07-26;24,00;14,00;6,00;7,00;3,00;7,06;36,71;7,06;14,12
2020-08-02;30,00;28,00;13,00;7,00;4,00;9,55;36,82;4,09;15,00
2020-08-09;25,00;32,00;15,00;6,00;4,00;11,11;37,50;8,33;13,89
2020-08-16;22,00;27,00;5,00;9,00;2,00;6,88;35,75;6,88;13,75
2020-08-23;21,00;27,00;9,00;5,00;3,00;7,00;32,20;7,00;12,60
2020-08-30;24,00;34,00;12,00;7,00;4,00;7,06;33,88;7,06;14,12
2020-09-06;23,00;27,00;7,00;5,00;3,00;6,76;36,53;6,76;14,88
2020-09-13;21,00;24,00;10,00;5,00;4,00;5,60;32,20;5,60;12,60
2020-09-20;20,00;28,00;6,00;6,00;2,00;5,33;32,00;5,33;13,33
2020-09-27;19,00;26,00;8,00;5,00;3,00;5,43;19,00;6,79;13,57
2020-10-04;24,00;26,00;4,00;6,00;3,00;4,24;31,06;8,47;15,53
2020-10-11;21,00;26,00;8,00;6,00;3,00;4,20;23,80;8,40;18,20
2020-10-18;22,00;24,00;10,00;6,00;2,00;4,13;27,50;6,88;16,50
2020-10-25;16,00;25,00;6,00;4,00;3,00;4,00;28,00;4,00;13,33
2020-11-01;16,00;21,00;2,00;5,00;1,00;2,91;24,73;8,73;13,09
2020-11-08;15,00;28,00;11,00;5,00;2,00;4,09;24,55;6,82;15,00
2020-11-15;20,00;28,00;8,00;6,00;2,00;5,33;25,33;6,67;14,67
2020-11-22;22,00;31,00;4,00;5,00;2,00;8,25;28,88;6,88;15,13
2020-11-29;26,00;39,00;6,00;5,00;4,00;6,84;30,11;5,47;12,32
2020-12-06;28,00;24,00;4,00;6,00;3,00;7,00;30,80;8,40;15,40
2020-12-13;28,00;27,00;10,00;5,00;2,00;5,60;32,20;7,00;14,00
2020-12-20;21,00;26,00;4,00;5,00;3,00;5,60;19,60;5,60;14,00
2020-12-27;28,00;30,00;7,00;4,00;2,00;5,60;33,60;5,60;16,80
2021-01-03;32,00;29,00;8,00;6,00;2,00;5,57;29,22;5,57;16,70
2021-01-10;28,00;27,00;11,00;5,00;2,00;5,60;25,20;7,00;16,80
2021-01-17;25,00;24,00;3,00;6,00;1,00;4,17;22,22;5,56;15,28
2021-01-24;22,00;18,00;7,00;5,00;1,00;5,50;17,88;5,50;15,13
2021-01-31;20,00;17,00;5,00;5,00;1,00;5,71;25,71;4,29;15,71
2021-02-07;18,00;13,00;9,00;6,00;1,00;5,54;18,00;6,92;16,62
2021-02-14;23,00;24,00;10,00;6,00;2,00;4,06;25,71;4,06;17,59
2021-02-21;23,00;22,00;10,00;7,00;3,00;4,06;23,00;5,41;18,94
2021-02-28;21,00;16,00;4,00;6,00;3,00;5,60;28,00;4,20;21,00
2021-03-07;28,00;22,00;5,00;6,00;3,00;5,60;29,40;4,20;22,40
2021-03-14;23,00;26,00;7,00;4,00;1,00;4,06;31,12;6,76;21,65
2021-03-21;21,00;18,00;3,00;6,00;3,00;3,94;23,63;3,94;21,00
2021-03-28;20,00;22,00;6,00;6,00;3,00;6,67;18,67;2,67;20,00
2021-04-04;21,00;20,00;7,00;5,00;2,00;7,00;29,40;4,20;21,00
2021-04-11;23,00;31,00;8,00;5,00;2,00;7,19;28,75;2,88;21,56
2021-04-18;25,00;32,00;6,00;5,00;3,00;6,94;23,61;2,78;20,83
2021-04-25;26,00;27,00;5,00;6,00;3,00;6,84;35,58;1,37;19,16
2021-05-02;30,00;33,00;2,00;6,00;3,00;6,82;27,27;4,09;20,45
2021-05-09;29,00;49,00;10,00;9,00;4,00;9,67;51,10;2,76;20,71
2021-05-16;37,00;41,00;10,00;9,00;4,00;9,59;53,44;2,74;21,93
2021-05-23;42,00;52,00;12,00;11,00;4,00;11,20;68,60;4,20;23,80
2021-05-30;44,00;75,00;9,00;14,00;4,00;11,00;67,38;4,13;24,75
2021-06-06;51,00;76,00;20,00;12,00;4,00;16,54;75,81;4,14;23,43
2021-06-13;73,00;95,00;18,00;16,00;6,00;13,77;103,30;4,13;24,79
2021-06-20;55,00;99,00;15,00;14,00;5,00;15,13;100,38;2,75;23,38
2021-06-27;54,00;100,00;8,00;15,00;6,00;15,23;92,77;4,15;20,77
2021-07-04;52,00;80,00;16,00;15,00;6,00;13,68;82,11;4,11;21,89
2021-07-11;42,00;77,00;21,00;16,00;6,00;14,00;71,40;4,20;23,80
2021-07-18;38,00;89,00;10,00;14,00;5,00;14,07;87,26;4,22;21,11
2021-07-25;40,00;74,00;16,00;14,00;7,00;11,03;84,14;6,90;20,69
2021-08-01;45,00;65,00;13,00;10,00;7,00;16,36;91,36;5,45;19,09
2021-08-08;41,00;67,00;15,00;12,00;5,00;12,30;73,80;4,10;16,40
2021-08-15;38,00;53,00;12,00;10,00;5,00;15,48;84,44;4,22;19,70
2021-08-22;32,00;57,00;13,00;8,00;5,00;15,30;79,30;4,17;16,70
2021-08-29;34,00;64,00;17,00;10,00;6,00;12,24;63,92;5,44;16,32
