Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;51,00;31,00;9,00;6,00;99,43;33,14;53,86;12,43
2019-01-13;27,00;54,00;29,00;11,00;6,00;100,29;30,86;50,14;11,57
2019-01-20;31,00;61,00;27,00;10,00;7,00;100,75;38,75;50,38;11,63
2019-01-27;34,00;56,00;23,00;12,00;6,00;102,00;34,00;46,75;12,75
2019-02-03;46,00;59,00;26,00;12,00;7,00;87,82;33,45;54,36;12,55
2019-02-10;41,00;52,00;28,00;9,00;6,00;102,50;36,90;49,20;12,30
2019-02-17;44,00;59,00;20,00;10,00;6,00;100,00;44,00;52,00;12,00
2019-02-24;48,00;49,00;35,00;10,00;6,00;104,00;40,00;56,00;12,00
2019-03-03;39,00;41,00;39,00;11,00;7,00;105,30;35,10;50,70;11,70
2019-03-10;44,00;55,00;36,00;11,00;10,00;116,00;32,00;52,00;12,00
2019-03-17;48,00;43,00;18,00;9,00;10,00;120,00;36,00;60,00;12,00
2019-03-24;47,00;42,00;38,00;11,00;10,00;117,50;27,42;50,92;11,75
2019-03-31;43,00;57,00;26,00;11,00;10,00;132,91;46,91;46,91;11,73
2019-04-07;44,00;42,00;37,00;9,00;6,00;152,00;44,00;60,00;12,00
2019-04-14;45,00;56,00;31,00;12,00;9,00;147,27;45,00;69,55;12,27
2019-04-21;43,00;40,00;25,00;9,00;10,00;160,27;39,09;54,73;11,73
2019-04-28;37,00;49,00;17,00;12,00;7,00;148,00;45,22;61,67;12,33
2019-05-05;37,00;47,00;32,00;10,00;6,00;135,67;32,89;65,78;12,33
2019-05-12;35,00;49,00;30,00;6,00;5,00;124,44;46,67;58,33;11,67
2019-05-19;38,00;50,00;29,00;9,00;12,00;135,11;42,22;63,33;12,67
2019-05-26;47,00;61,00;38,00;13,00;8,00;137,08;50,92;62,67;11,75
2019-06-02;45,00;51,00;40,00;12,00;11,00;188,18;45,00;61,36;12,27
2019-06-09;44,00;80,00;32,00;14,00;5,00;208,00;44,00;60,00;12,00
2019-06-16;44,00;65,00;50,00;12,00;12,00;212,00;44,00;64,00;16,00
2019-06-23;45,00;77,00;43,00;9,00;11,00;241,36;53,18;65,45;16,36
2019-06-30;46,00;99,00;38,00;13,00;10,00;245,33;49,83;65,17;15,33
2019-07-07;47,00;87,00;44,00;14,00;12,00;235,00;70,50;70,50;15,67
2019-07-14;57,00;88,00;43,00;15,00;10,00;244,29;73,29;73,29;16,29
2019-07-21;56,00;80,00;46,00;15,00;13,00;276,00;84,00;68,00;16,00
2019-07-28;60,00;77,00;38,00;13,00;12,00;284,00;56,00;76,00;16,00
2019-08-04;66,00;74,00;50,00;17,00;11,00;330,00;69,88;66,00;15,53
2019-08-11;65,00;62,00;34,00;13,00;13,00;341,25;48,75;73,13;16,25
2019-08-18;58,00;88,00;23,00;11,00;11,00;269,29;66,29;82,86;12,43
2019-08-25;45,00;51,00;33,00;13,00;8,00;200,45;40,91;61,36;12,27
2019-09-01;38,00;45,00;24,00;13,00;8,00;168,89;38,00;63,33;16,89
2019-09-08;38,00;58,00;31,00;8,00;8,00;152,00;45,60;60,80;11,40
2019-09-15;33,00;40,00;38,00;12,00;8,00;156,75;45,38;61,88;12,38
2019-09-22;29,00;41,00;35,00;12,00;8,00;132,57;37,29;58,00;12,43
2019-09-29;31,00;46,00;25,00;11,00;6,00;127,88;31,00;54,25;11,63
2019-10-06;27,00;48,00;39,00;8,00;6,00;115,71;38,57;50,14;11,57
2019-10-13;27,00;27,00;22,00;7,00;6,00;111,86;34,71;46,29;11,57
2019-10-20;32,00;41,00;22,00;8,00;8,00;112,00;32,00;52,00;12,00
2019-10-27;30,00;53,00;19,00;5,00;4,00;108,75;30,00;41,25;11,25
2019-11-03;26,00;47,00;22,00;8,00;6,00;108,33;30,33;43,33;13,00
2019-11-10;23,00;27,00;13,00;8,00;5,00;95,83;19,17;38,33;11,50
2019-11-17;25,00;32,00;18,00;6,00;4,00;108,33;20,83;37,50;12,50
2019-11-24;19,00;41,00;15,00;6,00;5,00;87,40;19,00;34,20;11,40
2019-12-01;21,00;27,00;17,00;6,00;6,00;100,80;25,20;37,80;12,60
2019-12-08;20,00;24,00;17,00;5,00;3,00;88,00;28,00;28,00;12,00
2019-12-15;18,00;26,00;9,00;5,00;3,00;79,20;21,60;28,80;10,80
2019-12-22;41,00;38,00;21,00;8,00;7,00;114,80;24,60;45,10;20,50
2019-12-29;28,00;44,00;20,00;9,00;8,00;124,00;32,00;48,00;16,00
2020-01-05;23,00;48,00;15,00;9,00;7,00;92,00;34,50;46,00;15,33
2020-01-12;27,00;57,00;29,00;11,00;6,00;100,29;34,71;50,14;15,43
2020-01-19;28,00;47,00;21,00;11,00;5,00;104,00;28,00;48,00;16,00
2020-01-26;32,00;45,00;38,00;11,00;6,00;88,00;36,00;44,00;16,00
2020-02-02;36,00;70,00;23,00;10,00;8,00;100,00;36,00;52,00;16,00
2020-02-09;29,00;49,00;20,00;9,00;6,00;111,86;33,14;49,71;16,57
2020-02-16;31,00;52,00;31,00;8,00;10,00;96,88;38,75;50,38;15,50
2020-02-23;26,00;40,00;18,00;9,00;7,00;52,00;26,00;44,57;11,14
2020-03-01;24,00;34,00;16,00;6,00;7,00;60,00;24,00;44,00;12,00
2020-03-08;18,00;27,00;12,00;5,00;4,00;27,00;27,00;49,50;13,50
2020-03-15;9,00;11,00;8,00;2,00;3,00;18,00;9,00;27,00;9,00
2020-03-22;8,00;9,00;6,00;2,00;2,00;12,00;8,00;20,00;8,00
2020-03-29;11,00;14,00;6,00;2,00;1,00;11,00;11,00;14,67;3,67
2020-04-05;8,00;10,00;6,00;3,00;2,00;12,00;8,00;20,00;8,00
2020-04-12;9,00;12,00;7,00;2,00;1,00;18,00;22,50;18,00;9,00
2020-04-19;12,00;7,00;6,00;2,00;2,00;20,00;16,00;16,00;8,00
2020-04-26;10,00;14,00;12,00;2,00;3,00;16,67;23,33;16,67;6,67
2020-05-03;10,00;14,00;7,00;3,00;2,00;20,00;20,00;23,33;6,67
2020-05-10;20,00;15,00;8,00;4,00;3,00;24,00;36,00;20,00;12,00
2020-05-17;29,00;23,00;14,00;3,00;1,00;53,86;45,57;20,71;12,43
2020-05-24;31,00;29,00;18,00;5,00;1,00;62,00;38,75;19,38;11,63
2020-05-31;37,00;40,00;35,00;5,00;3,00;98,67;45,22;28,78;12,33
2020-06-07;46,00;52,00;37,00;9,00;5,00;118,83;49,83;26,83;15,33
2020-06-14;45,00;77,00;28,00;8,00;6,00;159,55;69,55;28,64;16,36
2020-06-21;53,00;77,00;60,00;5,00;4,00;199,77;57,08;40,77;20,38
2020-06-28;53,00;80,00;41,00;8,00;6,00;228,31;73,38;44,85;16,31
2020-07-05;64,00;90,00;55,00;11,00;5,00;252,00;72,00;48,00;16,00
2020-07-12;66,00;100,00;56,00;8,00;4,00;252,35;77,65;58,24;15,53
2020-07-19;59,00;72,00;47,00;7,00;5,00;298,93;62,93;59,00;15,73
2020-07-26;72,00;86,00;57,00;9,00;6,00;304,00;80,00;76,00;20,00
2020-08-02;72,00;81,00;39,00;8,00;8,00;336,00;68,00;80,00;20,00
2020-08-09;67,00;90,00;28,00;9,00;6,00;370,47;43,35;67,00;15,76
2020-08-16;51,00;64,00;30,00;8,00;4,00;325,62;62,77;66,69;15,69
2020-08-23;41,00;48,00;23,00;7,00;3,00;196,80;53,30;77,90;16,40
2020-08-30;39,00;60,00;22,00;6,00;4,00;159,90;50,70;62,40;15,60
2020-09-06;36,00;73,00;35,00;11,00;6,00;124,00;68,00;60,00;16,00
2020-09-13;31,00;47,00;24,00;6,00;5,00;112,38;65,88;54,25;15,50
2020-09-20;27,00;42,00;26,00;5,00;4,00;84,86;34,71;42,43;15,43
2020-09-27;20,00;35,00;27,00;6,00;2,00;76,00;28,00;40,00;16,00
2020-10-04;24,00;32,00;27,00;7,00;2,00;76,00;36,00;40,00;20,00
2020-10-11;22,00;37,00;15,00;3,00;6,00;66,00;17,60;39,60;17,60
2020-10-18;23,00;14,00;13,00;2,00;3,00;42,17;15,33;34,50;15,33
2020-10-25;12,00;15,00;5,00;3,00;2,00;36,00;20,00;24,00;12,00
2020-11-01;8,00;12,00;4,00;2,00;2,00;28,00;20,00;24,00;12,00
2020-11-08;11,00;28,00;4,00;1,00;1,00;25,67;14,67;22,00;11,00
2020-11-15;8,00;17,00;8,00;2,00;2,00;24,00;20,00;24,00;12,00
2020-11-22;10,00;12,00;14,00;3,00;3,00;35,00;25,00;20,00;15,00
2020-11-29;11,00;23,00;9,00;2,00;4,00;18,33;14,67;18,33;11,00
2020-12-06;13,00;27,00;14,00;2,00;2,00;34,67;17,33;21,67;13,00
2020-12-13;15,00;16,00;9,00;1,00;2,00;26,25;15,00;18,75;11,25
2020-12-20;13,00;21,00;7,00;3,00;2,00;26,00;17,33;26,00;13,00
2020-12-27;19,00;26,00;6,00;3,00;1,00;30,40;22,80;19,00;11,40
2021-01-03;14,00;23,00;5,00;2,00;2,00;32,67;23,33;23,33;18,67
