Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;39,00;60,00;43,00;49,00;46,85;37,92;60,23;23,42
2019-01-13;29,00;41,00;59,00;43,00;52,00;46,85;35,69;55,77;24,54
2019-01-20;29,00;38,00;60,00;40,00;54,00;46,85;36,81;54,65;23,42
2019-01-27;29,00;36,00;58,00;42,00;57,00;46,19;34,37;47,26;22,56
2019-02-03;32,00;39,00;58,00;38,00;60,00;45,24;36,41;51,86;24,28
2019-02-10;32,00;38,00;58,00;38,00;62,00;48,55;35,31;50,76;25,38
2019-02-17;33,00;32,00;59,00;36,00;62,00;49,50;31,90;50,60;25,30
2019-02-24;33,00;33,00;59,00;35,00;64,00;52,80;30,80;48,40;25,30
2019-03-03;33,00;36,00;56,00;37,00;57,00;50,07;33,00;48,93;28,45
2019-03-10;29,00;35,00;58,00;38,00;62,00;50,19;34,58;46,85;29,00
2019-03-17;32,00;35,00;55,00;37,00;63,00;54,07;30,90;48,55;25,38
2019-03-24;31,00;33,00;59,00;35,00;65,00;53,14;32,11;46,50;27,68
2019-03-31;34,00;36,00;54,00;34,00;58,00;50,45;30,71;46,06;26,32
2019-04-07;34,00;36,00;57,00;37,00;64,00;55,94;34,00;52,65;25,23
2019-04-14;33,00;33,00;65,00;36,00;64,00;51,70;30,80;46,20;25,30
2019-04-21;31,00;33,00;55,00;34,00;56,00;58,68;31,00;46,50;25,46
2019-04-28;31,00;32,00;62,00;37,00;58,00;50,93;34,32;50,93;26,57
2019-05-05;30,00;33,00;52,00;36,00;65,00;55,56;32,22;52,22;25,56
2019-05-12;29,00;33,00;55,00;37,00;62,00;50,19;33,46;51,31;26,77
2019-05-19;30,00;35,00;51,00;36,00;63,00;52,22;33,33;55,56;30,00
2019-05-26;32,00;34,00;59,00;38,00;68,00;54,07;33,10;57,38;32,00
2019-06-02;31,00;35,00;59,00;39,00;71,00;70,86;32,11;52,04;28,79
2019-06-09;31,00;36,00;61,00;43,00;74,00;76,39;35,43;53,14;31,00
2019-06-16;34,00;36,00;64,00;42,00;82,00;82,26;31,81;55,94;34,00
2019-06-23;33,00;38,00;59,00;39,00;82,00;84,70;34,10;55,00;33,00
2019-06-30;33,00;44,00;62,00;42,00;91,00;86,90;38,50;56,10;33,00
2019-07-07;36,00;46,00;68,00;44,00;92,00;81,82;38,18;56,73;31,64
2019-07-14;37,00;48,00;77,00;44,00;90,00;82,71;41,35;55,50;32,65
2019-07-21;38,00;44,00;77,00;45,00;95,00;91,20;41,26;54,29;33,66
2019-07-28;41,00;50,00;72,00;42,00;98,00;91,97;43,22;58,73;33,24
2019-08-04;44,00;44,00;66,00;47,00;95,00;101,20;42,90;57,20;31,90
2019-08-11;44,00;42,00;60,00;44,00;95,00;102,30;40,70;57,20;29,70
2019-08-18;38,00;40,00;58,00;43,00;90,00;88,29;40,24;58,12;27,94
2019-08-25;33,00;36,00;60,00;43,00;77,00;69,30;31,90;53,90;27,50
2019-09-01;32,00;36,00;55,00;39,00;74,00;59,59;33,10;64,00;27,59
2019-09-08;32,00;36,00;64,00;41,00;61,00;56,28;33,10;64,00;26,48
2019-09-15;32,00;36,00;60,00;41,00;59,00;49,66;32,00;62,90;28,69
2019-09-22;30,00;34,00;55,00;41,00;61,00;45,56;33,33;62,22;28,89
2019-09-29;29,00;28,00;57,00;40,00;61,00;42,96;30,07;53,70;27,93
2019-10-06;28,00;35,00;55,00;38,00;59,00;43,68;33,60;61,60;28,00
