Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;34,00;24,00;7,00;14,00;27,00;11,00;21,00;17,00;1,00
2019-01-13;38,00;36,00;27,00;14,00;42,00;9,00;41,00;17,00;0,50
2019-01-20;29,00;51,00;27,00;20,00;50,00;14,00;11,00;19,00;1,00
2019-01-27;38,00;6,00;13,00;16,00;35,00;12,00;28,00;16,00;1,00
2019-02-03;41,00;30,00;41,00;15,00;41,00;15,00;23,00;19,00;1,00
2019-02-10;36,00;6,00;14,00;16,00;38,00;8,00;12,00;20,00;1,00
2019-02-17;43,00;18,00;21,00;15,00;43,00;13,00;36,00;14,00;1,00
2019-02-24;43,00;18,00;28,00;16,00;47,00;13,00;18,00;15,00;1,00
2019-03-03;37,00;18,00;0,00;11,00;51,00;13,00;15,00;18,00;1,00
2019-03-10;42,00;18,00;41,00;14,00;39,00;12,00;23,00;17,00;1,00
2019-03-17;47,00;67,00;35,00;15,00;50,00;15,00;23,00;18,00;1,00
2019-03-24;48,00;6,00;21,00;11,00;45,00;13,00;9,00;13,00;1,00
2019-03-31;45,00;30,00;34,00;16,00;47,00;14,00;12,00;20,00;2,00
2019-04-07;53,00;6,00;33,00;13,00;68,00;6,00;21,00;19,00;1,00
2019-04-14;47,00;19,00;31,00;15,00;33,00;12,00;6,00;16,00;1,00
2019-04-21;35,00;31,00;0,00;12,00;33,00;13,00;15,00;17,00;1,00
2019-04-28;40,00;23,00;0,00;15,00;56,00;14,00;26,00;19,00;1,00
2019-05-05;48,00;23,00;20,00;23,00;50,00;8,00;9,00;22,00;1,00
2019-05-12;38,00;12,00;48,00;20,00;41,00;16,00;20,00;22,00;1,00
2019-05-19;48,00;0,00;7,00;17,00;56,00;8,00;17,00;26,00;2,00
2019-05-26;37,00;23,00;44,00;18,00;55,00;6,00;23,00;26,00;3,00
2019-06-02;39,00;33,00;21,00;20,00;72,00;10,00;27,00;19,00;1,00
2019-06-09;49,00;50,00;14,00;26,00;66,00;12,00;17,00;27,00;1,00
2019-06-16;48,00;29,00;21,00;19,00;73,00;10,00;20,00;19,00;1,00
2019-06-23;32,00;32,00;30,00;17,00;48,00;23,00;17,00;16,00;1,00
2019-06-30;37,00;31,00;58,00;25,00;100,00;19,00;23,00;25,00;0,50
2019-07-07;39,00;12,00;36,00;15,00;77,00;14,00;20,00;24,00;0,50
2019-07-14;52,00;39,00;8,00;16,00;95,00;21,00;24,00;23,00;1,00
2019-07-21;53,00;41,00;34,00;13,00;78,00;12,00;16,00;16,00;1,00
2019-07-28;54,00;26,00;26,00;21,00;72,00;24,00;13,00;14,00;1,00
2019-08-04;60,00;50,00;8,00;18,00;78,00;23,00;45,00;19,00;2,00
2019-08-11;39,00;38,00;7,00;21,00;52,00;13,00;39,00;20,00;0,50
2019-08-18;56,00;19,00;34,00;13,00;62,00;11,00;22,00;21,00;0,50
2019-08-25;34,00;24,00;27,00;17,00;44,00;17,00;18,00;20,00;1,00
2019-09-01;34,00;24,00;13,00;11,00;39,00;10,00;14,00;20,00;1,00
2019-09-08;44,00;30,00;7,00;18,00;44,00;9,00;20,00;21,00;2,00
2019-09-15;41,00;36,00;14,00;17,00;35,00;12,00;20,00;17,00;3,00
2019-09-22;33,00;22,00;14,00;13,00;36,00;8,00;25,00;22,00;3,00
2019-09-29;43,00;11,00;14,00;14,00;31,00;6,00;24,00;19,00;2,00
2019-10-06;45,00;22,00;21,00;14,00;33,00;11,00;16,00;16,00;2,00
2019-10-13;42,00;0,00;7,00;13,00;26,00;4,00;11,00;15,00;4,00
2019-10-20;38,00;17,00;13,00;13,00;32,00;5,00;20,00;18,00;1,00
2019-10-27;41,00;18,00;20,00;14,00;26,00;8,00;8,00;17,00;2,00
2019-11-03;33,00;11,00;32,00;17,00;19,00;6,00;6,00;10,00;1,00
2019-11-10;43,00;28,00;33,00;13,00;27,00;6,00;3,00;13,00;2,00
2019-11-17;33,00;22,00;7,00;16,00;32,00;2,00;19,00;19,00;2,00
2019-11-24;31,00;16,00;6,00;6,00;18,00;1,00;11,00;16,00;3,00
2019-12-01;25,00;17,00;13,00;8,00;19,00;2,00;19,00;13,00;3,00
2019-12-08;32,00;11,00;0,00;9,00;21,00;4,00;20,00;9,00;3,00
2019-12-15;28,00;16,00;13,00;10,00;19,00;4,00;14,00;19,00;3,00
2019-12-22;39,00;18,00;16,00;16,00;29,00;11,00;9,00;30,00;4,00
2019-12-29;35,00;29,00;23,00;22,00;30,00;12,00;17,00;21,00;4,00
2020-01-05;45,00;42,00;6,00;14,00;31,00;8,00;35,00;29,00;5,00
2020-01-12;40,00;41,00;31,00;17,00;51,00;13,00;26,00;25,00;6,00
2020-01-19;47,00;27,00;25,00;11,00;32,00;7,00;47,00;25,00;5,00
2020-01-26;39,00;37,00;56,00;15,00;51,00;12,00;21,00;22,00;4,00
2020-02-02;38,00;27,00;12,00;19,00;40,00;9,00;16,00;22,00;5,00
2020-02-09;49,00;5,00;19,00;12,00;41,00;10,00;16,00;14,00;5,00
2020-02-16;49,00;21,00;25,00;13,00;26,00;8,00;21,00;20,00;3,00
2020-02-23;34,00;0,00;6,00;7,00;37,00;6,00;13,00;18,00;3,00
2020-03-01;37,00;15,00;6,00;9,00;31,00;2,00;5,00;20,00;2,00
2020-03-08;15,00;25,00;6,00;8,00;11,00;0,00;10,00;9,00;4,00
2020-03-15;13,00;0,00;6,00;2,00;11,00;0,00;5,00;6,00;5,00
2020-03-22;3,00;0,00;0,00;3,00;9,00;0,00;2,00;5,00;4,00
2020-03-29;8,00;0,00;0,00;0,00;6,00;1,00;5,00;9,00;2,00
2020-04-05;9,00;5,00;0,00;1,00;6,00;0,00;2,00;10,00;5,00
2020-04-12;5,00;0,00;6,00;4,00;10,00;1,00;0,00;7,00;2,00
2020-04-19;9,00;5,00;6,00;3,00;8,00;2,00;2,00;9,00;2,00
2020-04-26;7,00;5,00;5,00;4,00;8,00;3,00;2,00;6,00;4,00
2020-05-03;7,00;0,00;12,00;6,00;11,00;1,00;0,00;7,00;3,00
2020-05-10;10,00;5,00;6,00;6,00;12,00;5,00;5,00;5,00;3,00
2020-05-17;9,00;19,00;6,00;5,00;19,00;2,00;2,00;8,00;5,00
2020-05-24;23,00;5,00;24,00;8,00;28,00;3,00;5,00;7,00;3,00
2020-05-31;24,00;0,00;0,00;8,00;32,00;11,00;5,00;9,00;6,00
2020-06-07;26,00;9,00;11,00;14,00;27,00;10,00;11,00;23,00;28,00
2020-06-14;37,00;23,00;29,00;9,00;45,00;12,00;16,00;18,00;12,00
2020-06-21;41,00;10,00;13,00;9,00;42,00;13,00;7,00;28,00;16,00
2020-06-28;48,00;24,00;31,00;15,00;51,00;11,00;23,00;13,00;4,00
2020-07-05;49,00;15,00;19,00;13,00;46,00;12,00;12,00;15,00;3,00
2020-07-12;52,00;16,00;13,00;18,00;46,00;11,00;11,00;13,00;5,00
2020-07-19;67,00;23,00;34,00;13,00;55,00;8,00;34,00;19,00;5,00
2020-07-26;68,00;11,00;7,00;15,00;54,00;21,00;27,00;13,00;5,00
2020-08-02;100,00;42,00;13,00;13,00;86,00;10,00;14,00;16,00;5,00
2020-08-09;83,00;25,00;6,00;15,00;79,00;9,00;16,00;16,00;4,00
2020-08-16;75,00;20,00;44,00;16,00;52,00;13,00;13,00;13,00;3,00
2020-08-23;37,00;15,00;25,00;15,00;31,00;7,00;7,00;12,00;4,00
2020-08-30;30,00;20,00;12,00;14,00;34,00;3,00;20,00;16,00;3,00
2020-09-06;46,00;16,00;6,00;12,00;21,00;3,00;10,00;8,00;3,00
2020-09-13;44,00;16,00;37,00;11,00;25,00;5,00;13,00;11,00;4,00
2020-09-20;54,00;15,00;12,00;10,00;18,00;4,00;3,00;11,00;4,00
2020-09-27;55,00;5,00;6,00;25,00;12,00;1,00;13,00;14,00;4,00
2020-10-04;55,00;10,00;19,00;28,00;12,00;4,00;8,00;12,00;3,00
2020-10-11;50,00;5,00;13,00;17,00;20,00;6,00;3,00;12,00;6,00
