Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;67,00;64,00;69,00;72,00;71,00;59,69;57,25;53,60;32,89
2019-01-13;63,00;59,00;48,00;68,00;66,00;59,29;59,29;50,65;33,35
2019-01-20;59,00;58,00;56,00;60,00;64,00;54,08;46,71;49,17;33,19
2019-01-27;49,00;45,00;58,00;62,00;70,00;54,03;43,97;47,74;31,41
2019-02-03;45,00;45,00;53,00;54,00;65,00;47,43;42,57;48,65;27,97
2019-02-10;49,00;44,00;57,00;56,00;71,00;49,00;34,30;44,10;30,63
2019-02-17;44,00;41,00;43,00;48,00;69,00;50,11;40,33;46,44;31,78
2019-02-24;55,00;40,00;53,00;52,00;69,00;50,11;35,44;42,78;33,00
2019-03-03;49,00;44,00;58,00;49,00;72,00;53,90;34,30;45,33;34,30
2019-03-10;47,00;35,00;51,00;48,00;70,00;50,71;34,63;45,76;32,16
2019-03-17;46,00;39,00;52,00;46,00;71,00;52,22;31,08;43,51;32,32
2019-03-24;48,00;39,00;45,00;45,00;71,00;55,38;30,77;41,85;30,77
2019-03-31;53,00;46,00;54,00;39,00;67,00;53,00;32,05;43,14;30,81
2019-04-07;59,00;49,00;60,00;44,00;73,00;51,63;30,73;49,17;30,73
2019-04-14;57,00;42,00;48,00;43,00;63,00;53,28;35,93;44,61;28,50
2019-04-21;55,00;42,00;53,00;45,00;61,00;53,75;38,75;45,00;30,00
2019-04-28;56,00;42,00;57,00;46,00;55,00;56,00;41,39;46,26;28,00
2019-05-05;56,00;43,00;52,00;41,00;63,00;52,35;42,61;46,26;28,00
2019-05-12;54,00;45,00;50,00;44,00;64,00;54,00;40,50;46,64;30,68
2019-05-19;51,00;46,00;52,00;42,00;69,00;52,24;38,56;48,51;32,34
2019-05-26;50,00;49,00;56,00;38,00;66,00;47,56;36,59;48,78;32,93
2019-06-02;51,00;45,00;44,00;43,00;69,00;57,22;37,32;46,02;33,59
2019-06-09;55,00;49,00;59,00;48,00;71,00;61,11;34,22;50,11;35,44
2019-06-16;55,00;45,00;55,00;52,00;76,00;61,11;36,67;48,89;35,44
2019-06-23;52,00;48,00;52,00;44,00;79,00;66,86;34,67;49,52;37,14
2019-06-30;59,00;59,00;58,00;54,00;88,00;67,60;40,56;52,85;31,96
2019-07-07;59,00;61,00;61,00;61,00;86,00;68,83;52,85;52,85;33,19
2019-07-14;63,00;60,00;57,00;59,00;87,00;69,18;49,41;51,88;32,12
2019-07-21;66,00;47,00;60,00;54,00;86,00;75,96;52,30;51,06;32,38
2019-07-28;76,00;51,00;54,00;52,00;93,00;74,75;54,82;51,08;32,39
2019-08-04;72,00;54,00;57,00;54,00;93,00;76,97;45,93;53,38;32,28
2019-08-11;66,00;59,00;54,00;54,00;79,00;69,74;51,06;52,30;32,38
2019-08-18;60,00;48,00;61,00;54,00;77,00;63,75;45,00;56,25;30,00
2019-08-25;54,00;43,00;54,00;47,00;73,00;55,23;38,05;49,09;28,23
2019-09-01;52,00;47,00;65,00;49,00;69,00;59,43;47,05;52,00;29,71
2019-09-08;47,00;41,00;61,00;48,00;60,00;54,42;42,05;51,95;27,21
2019-09-15;50,00;39,00;51,00;48,00;65,00;47,56;40,24;51,22;28,05
2019-09-22;55,00;48,00;70,00;100,00;69,00;50,11;45,22;53,78;29,33
2019-09-29;50,00;41,00;52,00;53,00;65,00;46,34;37,80;45,12;28,05
2019-10-06;45,00;41,00;54,00;48,00;66,00;46,22;37,70;51,08;26,76
2019-10-13;48,00;45,00;56,00;47,00;64,00;44,31;38,15;46,77;28,31
2019-10-20;49,00;48,00;47,00;48,00;56,00;49,00;38,95;45,23;26,38
2019-10-27;46,00;48,00;49,00;47,00;54,00;43,51;36,05;41,03;24,86
2019-11-03;49,00;47,00;49,00;47,00;56,00;46,55;35,53;41,65;26,95
2019-11-10;44,00;49,00;46,00;40,00;54,00;46,44;33,00;39,11;26,89
2019-11-17;47,00;48,00;55,00;42,00;55,00;45,76;33,39;38,34;27,21
2019-11-24;42,00;39,00;47,00;37,00;56,00;45,71;32,12;39,53;28,41
2019-12-01;41,00;42,00;50,00;36,00;52,00;42,24;37,27;38,52;31,06
2019-12-08;42,00;45,00;43,00;37,00;49,00;42,00;34,59;35,82;27,18
2019-12-15;47,00;37,00;50,00;37,00;45,00;43,29;30,92;44,53;29,68
2019-12-22;54,00;48,00;61,00;54,00;55,00;50,32;41,73;45,41;33,14
2019-12-29;63,00;52,00;68,00;59,00;63,00;59,29;51,88;50,65;37,06
